description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Gelatina UMSHA de Uva Bolsa 120g,UMSHA,S/ 3.50,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,120.0,g,3.5
Gelatina UNIVERSAL con Sabor a Fresa Extra Colágeno Bolsa 30g,UNIVERSAL,S/ 5.20,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,30.0,g,5.2
Gelatina Light BELL'S Piña Bolsa 19g,BELL'S,S/ 2.50,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,19.0,g,2.5
Gelatina UMSHA Sabor a Fresa Bolsa 120g,UMSHA,S/ 3.40,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,120.0,g,3.4
Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,130.0,g,3.99
Gelatina UMSHA Sabor a Piña Bolsa 120g,UMSHA,S/ 3.40,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,120.0,g,3.4
Gelatina UMSHA Sabor a Naranja Bolsa 120g,UMSHA,S/ 3.40,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,120.0,g,3.4
Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,130.0,g,3.99
Gelatina ROYAL Sabor a Cereza Bolsa 160g,ROYAL,S/ 5.20,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,160.0,g,5.2
Gelatina BELL'S Sabor a Piña Bolsa 180g,BELL'S,S/ 3.60,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,180.0,g,3.6
Gelatina ROYAL Sabor a Piña Bolsa 160g,ROYAL,S/ 5.20,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,160.0,g,5.2
Gelatina BELL'S Sabor a Naranja Bolsa 180g,BELL'S,S/ 3.60,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,180.0,g,3.6
Gelatina UNIVERSAL Sabor a Durazno Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,130.0,g,3.99
Gelatina Bebible UMSHA Fresa Bolsa 20g,UMSHA,S/ 1.30,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,20.0,g,1.3
Harina de Trigo NICOLINI Sin Preparar Bolsa 1Kg,NICOLINI,S/ 6.10,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,1.0,kg,6.1
Harina de Trigo Preparada BLANCA FLOR Bolsa 1Kg,BLANCA FLOR,S/ 8.70,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,1.0,kg,8.7
Harina sin Preparar BLANCA FLOR Bolsa 1kg,BLANCA FLOR,S/ 7.50,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,1.0,kg,7.5
Harina de Trigo Preparada BELL'S Bolsa 1Kg,BELL'S,S/ 6.90,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,1.0,kg,6.9
Harina sin Preparar MOLITALIA Bolsa 180g,MOLITALIA,S/ 1.20,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,180.0,g,1.2
Harina de Trigo NICOLINI Preparada Bolsa 1Kg,NICOLINI,S/ 6.99,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,1.0,kg,6.99
Harina de Trigo sin Preparar BELL'S Bolsa 1Kg,BELL'S,S/ 4.29,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,1.0,kg,4.29
Acondicionador TRESEMMÉ Keratina Frasco 500ml,TRESEMMÉ,S/ 28.90,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,500.0,ml,28.9
Crema para Peinar TRESEMMÉ Keratina Antifrizz Frasco 200ml,TRESEMMÉ,S/ 19.90,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,200.0,ml,19.9
