description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Sixpack Mezcla Láctea Bonlé Cremosa Lata 390g,S/ 21.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,21.2
Sixpack Mezcla Láctea Laive Nutrilac Botella 390g,S/ 19.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,19.9
Leche Reconstituida Gloria Niños Lata 390g,S/ 4.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.4
Sixpack Leche Reconstituida Gloria Niños Lata 170g,S/ 15.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,170.0,g,15.9
Leche Evaporada Light Cuisine & Co Lata 410g,S/ 4.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,410.0,g,4.3
Sixpack Fórmula de Continuación NAN 3 Bebés 390g,S/ 34.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,34.4
Fórmula de Continuación NAN 2 Bebés 390g,S/ 6.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,6.4
Bebida a Base de Coco Evaporada Lata 360 g,S/ 8.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,360.0,g,8.7
Leche Reconstituida con Vitaminas Gloria Lata 170g,S/ 2.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,170.0,g,2.2
Fórmula de Continuación NAN 3 Bebés 390g,S/ 6.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,6.4
Leche Evaporada Entera Gloria Lata 390g,S/ 4.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.2
Sixpack Fórmula de Continuación NAN 2 Bebés 390g,S/ 37.10,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,37.1
