description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Rocoto Anticuchero Cuisine & Co 250g,S/ 8.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,8.5
Ají Especial Sobre 50 g,S/ 0.89,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,50.0,g,0.89
Ají Pollero 75g,S/ 4.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,75.0,g,4.5
Ají De La Casa Metro 100g,S/ 3.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,3.9
Rocoto en Pasta Cuisine & Co 200g,S/ 7.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,200.0,g,7.9
Ají Jalapeño Ecologic 250g,S/ 6.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,6.9
Ají Panca Molido Piki 1kg,S/ 21.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,21.9
Ají Amarillo Molido Piki 1kg,S/ 21.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,21.9
Ají Panca En Pasta Wong Pote 250 g,S/ 7.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,7.5
Ají Pollero Adelmi 100g,S/ 2.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,2.9
Ají Mirasol Cuisine & Co 10g,S/ 3.10,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,10.0,g,3.1
Ají Panca Cuisine & Co 10g,S/ 1.99,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,10.0,g,1.99
Ají Mirasol Despepitado Naturandes Bandeja 100g,S/ 13.60,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,13.6
Ají Huacatay Pote 250 g,S/ 8.70,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,8.7
Rocoto Anticuchero Cuisine & Co 450g,S/ 14.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,450.0,g,14.5
Ají Panca Deshidratado Guva 100g,S/ 9.00,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,9.0
Ají Pizza Cuisine & Co 15g,S/ 2.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,15.0,g,2.9
Ají de La Abuela Metro 450g,S/ 14.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,450.0,g,14.5
Ají Criollo Wong Pote 250 g,S/ 8.70,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,8.7
Ají Parrillero Wong Pote 250 g,S/ 9.10,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,9.1
Ají De La Abuela Metro 100g,S/ 3.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,3.9
Ají Mirasol Deshidratado Guva 100g,S/ 9.00,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,9.0
Ají Mirasol en Pasta Pote 250g,S/ 6.20,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,6.2
Ají Criollo Arezzo 500g,S/ 10.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,500.0,g,10.5
AJÍ CRIOLLO ALPESA X 80GR,S/ 3.70,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,80.0,g,3.7
Ají de Pollo con Arroz Blanco 180g,S/ 5.40,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,180.0,g,5.4
Ají Criollo Sabor Tocino Terraza Grill 200g,S/ 9.10,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,200.0,g,9.1
Ají Huacatay Pote 250 g,S/ 7.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,7.5
Rocoto Picante Cuisine & Co 450g,S/ 10.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,450.0,g,10.9
Ají Paprika Deshidratado Guva 100g,S/ 9.00,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,9.0
Ají Paprika Molido Sin Picante Frasco 50 g,S/ 8.20,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,50.0,g,8.2
Ají De La Abuela Wong 100g,S/ 3.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,3.9
Ají De La Casa Wong 100g,S/ 3.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,3.9
Ají Amarillo Frasco 70 g,S/ 7.20,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,70.0,g,7.2
Ajos sin Pelar x kg,S/ 18.99 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,18.99
Ajos Enteros sin Pelar x kg,S/ 18.99 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,18.99
Ajo Molido Sibarita Ajo Siba 250g,S/ 19.60,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,19.6
Ajo Molido Piki 350g,S/ 12.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,350.0,g,12.5
