description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Papa Blanca Canchán Procesada x kgs,S/ 3.39 x kg,wong,PAPA BLANCA,2024-12-04 20:02:34.039402,1.0,kg,Papa Blanca Canchán Procesada s,3.39,wong,,,PAPA BLANCA
VINAGRE BLANCO X 1 L,S/ 3.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,1.0,l,VINAGRE BLANCO X,3.9,tottus,,TOTTUS,PAPA BLANCA
Papa Blanca Yungay x kg,S/ 4.39,vivanda,PAPA BLANCA,2024-12-04 18:01:50.005389,1.0,kg,Papa Blanca Yungay,4.39,vivanda,,VIVANDA,PAPA BLANCA
Papa Blanca Perricholi Procesada Wong x kg,S/ 4.79 x kg,wong,PAPA BLANCA,2024-12-04 20:02:34.039402,1.0,kg,Papa Blanca Perricholi Procesada Wong,4.79,wong,,,PAPA BLANCA
Marshmellows Millows Cilindro Blanco 145 g,S/ 4.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,145.0,g,Marshmellows Millows Cilindro Blanco,4.9,tottus,,COLOMBINA,PAPA BLANCA
Vinagre de Vino Blanco 600 mL,S/ 5.20,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,600.0,ml,Vinagre de Vino Blanco,5.2,tottus,,VENTURO,PAPA BLANCA
Papa Cocktail Blanca Agro Selecto 800g,S/ 6.00,wong,PAPA BLANCA,2024-12-04 20:02:34.039402,800.0,g,Papa Cocktail Blanca Agro Selecto,6.0,wong,,,PAPA BLANCA
Papas LAYS Clásicas Bolsa 210gr,S/ 7.00,vega,PAPA BLANCA,2024-12-04 14:21:03.236731,210.0,g,Papas LAYS Clásicas Bolsa r,7.0,vega,,Lays,PAPA BLANCA
Papa Blanca Yungay Agro Selecto 2kg,S/ 8.08,wong,PAPA BLANCA,2024-12-04 20:02:34.039402,2.0,kg,Papa Blanca Yungay Agro Selecto,8.08,wong,,,PAPA BLANCA
Harina de Maíz Blanco Precocido 1 kg,S/ 8.50,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,1.0,kg,Harina de Maíz Blanco Precocido,8.5,tottus,,PAN,PAPA BLANCA
Papa Blanca Yungay Agro Selecto 2kg,S/ 8.50,metro,PAPA BLANCA,2024-12-04 21:53:29.611084,2.0,kg,Papa Blanca Yungay Agro Selecto,8.5,metro,,,PAPA BLANCA
Manjar Blanco x 500 g,S/ 11.30,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,500.0,g,Manjar Blanco x,11.3,tottus,,LAIVE,PAPA BLANCA
Packx3 Jabón Blanco 90 g,S/ 12.50,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,90.0,g,Packx3 Jabón Blanco,12.5,tottus,,DOVE,PAPA BLANCA
Vino Blanco 750 mL,S/ 12.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco,12.9,tottus,,BERNINA,PAPA BLANCA
Pan Molde Blanco Sin Corteza 560 g,S/ 12.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,560.0,g,Pan Molde Blanco Sin Corteza,12.9,tottus,,TOTTUS,PAPA BLANCA
Manjar Blanco Nestlé 500 g,S/ 13.10,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,500.0,g,Manjar Blanco Nestlé,13.1,tottus,,NESTLE,PAPA BLANCA
Pan de Molde Blanco sin Corteza 560 g,S/ 13.50,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,560.0,g,Pan de Molde Blanco sin Corteza,13.5,tottus,,DON MAMINO,PAPA BLANCA
Papel Bond Fotocopia 75 Gr A-4 500 Hojas,S/ 13.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,75.0,g,Papel Bond Fotocopia r A-4 500 Hojas,13.9,tottus,,OFISCOOL,PAPA BLANCA
Vino Blanco Semi Seco 11.5° 750 mL,S/ 14.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco Semi Seco 11.5°,14.9,tottus,,TABERNERO,PAPA BLANCA
Vino Blanco 0.75L,S/ 14.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,0.75,l,Vino Blanco,14.9,tottus,,SANTIAGO QUEIROLO,PAPA BLANCA
Vino Chenin Blanco Semiseco Perú Viña Vieja 11° 750 mL,S/ 14.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Chenin Blanco Semiseco Perú Viña Vieja 11°,14.9,tottus,,VINA VIEJA,PAPA BLANCA
VINO BLANCO CHENIN BT 750ML,S/ 14.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,VINO BLANCO CHENIN BT,14.9,tottus,,MONTESIERPE,PAPA BLANCA
Vino Blanco Moscato Ecopello 750 mL,S/ 15.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco Moscato Ecopello,15.9,tottus,,E COPELLO,PAPA BLANCA
PAN BLANCO SIN BORDES 650G,S/ 16,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,650.0,g,PAN BLANCO SIN BORDES,16.0,tottus,,BIMBO,PAPA BLANCA
Vino Blanco Semi Seco 14° 750 mL,S/ 16.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco Semi Seco 14°,16.9,tottus,,TACAMA,PAPA BLANCA
Vino Blanco 10° 750 mL,S/ 17.50,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco 10°,17.5,tottus,,SANTIAGO QUEIROLO,PAPA BLANCA
Vino Gran Blanco Seco 13.5° 750 mL,S/ 22.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Gran Blanco Seco 13.5°,22.9,tottus,,TACAMA,PAPA BLANCA
Manjar Blanco Nestlé 1 kg,S/ 23.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,1.0,kg,Manjar Blanco Nestlé,23.9,tottus,,NESTLE,PAPA BLANCA
Vino blanco Chenin seco 750 mL,S/ 23.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino blanco Chenin seco,23.9,tottus,,MONTESIERPE,PAPA BLANCA
Vino Blanco 12.5° 750 mL,S/ 24.50,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco 12.5°,24.5,tottus,,FRONTERA,PAPA BLANCA
Pack X2 Legging Bebé Niña,S/ 24.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,2.0,l,Pack Xegging Bebé Niña,24.9,tottus,,REDWOOD,PAPA BLANCA
Ron Blanco 750 mL,S/ 25.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Ron Blanco,25.9,tottus,,CARTAVIO,PAPA BLANCA
Vino Blanco Sauvignon Casa Viva 750 mL,S/ 26.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco Sauvignon Casa Viva,26.9,tottus,,TOTTUS,PAPA BLANCA
Vino Blanco De Blancos 12° 750 mL,S/ 28.90,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco De Blancos 12°,28.9,tottus,,TABERNERO,PAPA BLANCA
Vino Blanco Sauvignon Blanc 750 mL,S/ 29.50,tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,750.0,ml,Vino Blanco Sauvignon Blanc,29.5,tottus,,INTIPALKA,PAPA BLANCA
