description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Helado Bombones D'ONOFRIO Pote 18 un,S/ 13.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,18.0,un,Helado Bombones D'ONOFRIO Pote,13.9,vivanda,D'ONOFRIO,PASTELES SALADOS
Pasta Dental COLGATE Triple Acciòn Tubo 100ml Paquete 2 un,S/ 14.50,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,100.0,ml,Pasta Dental COLGATE Triple Acciòn Tubo  Paquete,14.5,vega,Colgate,PASTELES SALADOS
Croissant Mini con Pollo Cuisine & Co 6un,S/ 14.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,6.0,un,Croissant Mini con Pollo Cuisine & Co,14.9,metro,,PASTELES SALADOS
Croissant Mini con Pollo Cuisine & Co 6un,S/ 15.50,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,6.0,un,Croissant Mini con Pollo Cuisine & Co,15.5,wong,,PASTELES SALADOS
Pasta Dental COLGATE Triple Acción Tubo 75ml Paquete 3un,S/ 16.50,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,75.0,ml,Pasta Dental COLGATE Triple Acción Tubo  Paquete,16.5,vivanda,COLGATE,PASTELES SALADOS
Empanada de Carne 4un,S/ 16.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,4.0,un,Empanada de Carne,16.9,metro,,PASTELES SALADOS
Empanada de Pollo 4un,S/ 16.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,4.0,un,Empanada de Pollo,16.9,metro,,PASTELES SALADOS
Combo: 6 Empanadas Cocktail de Carne + Chicha Naturale Botella 1L,S/ 17.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.0,l,Combo: 6 Empanadas Cocktail de Carne + Chicha Naturale Botella,17.9,wong,,PASTELES SALADOS
Combo: 6 Empanadas Cocktail de Pollo + Chicha Naturale Botella 1L,S/ 17.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.0,l,Combo: 6 Empanadas Cocktail de Pollo + Chicha Naturale Botella,17.9,wong,,PASTELES SALADOS
COLORES PASTEL ESTUCH PLAST X12UN,S/ 18.40,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,12.0,un,COLORES PASTEL ESTUCH PLAST X,18.4,tottus,ARTI CREATIVO,PASTELES SALADOS
Combo: 6 Empanadas Cocktail de Carne + Gaseosa Botella 1.5L,S/ 18.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.5,l,Combo: 6 Empanadas Cocktail de Carne + Gaseosa Botella,18.9,wong,,PASTELES SALADOS
Papel Higiénico SUAVE Premium Paquete 12un,S/ 18.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,12.0,un,Papel Higiénico SUAVE Premium Paquete,18.9,vivanda,SUAVE,PASTELES SALADOS
Combo: 4 Enrollados Hot Dog + Gaseosa Botella 1.5L,S/ 18.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.5,l,Combo: 4 Enrollados Hot Dog + Gaseosa Botella,18.9,wong,,PASTELES SALADOS
Combo: 6 Empanadas Cocktail de Pollo + Gaseosa Botella 1.5L,S/ 18.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.5,l,Combo: 6 Empanadas Cocktail de Pollo + Gaseosa Botella,18.9,wong,,PASTELES SALADOS
Pasta Dental COLGATE Triple Acción Pack 3u x 100ml,S/ 19.50,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,100.0,ml,Pasta Dental COLGATE Triple Acción Pack 3u x,19.5,vega,Colgate,PASTELES SALADOS
Min Pao Salado DELIFREEZE Bolsa 12 un,S/ 19.89,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,12.0,un,Min Pao Salado DELIFREEZE Bolsa,19.89,vivanda,DELIFREEZE,PASTELES SALADOS
Combo: 4 Empanadas Mixtas + Gaseosa Botella 1.5L,S/ 19.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.5,l,Combo: 4 Empanadas Mixtas + Gaseosa Botella,19.9,wong,,PASTELES SALADOS
Papel Toalla NOVA Ultra Absorbente Paquete 6un,S/ 19.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,6.0,un,Papel Toalla NOVA Ultra Absorbente Paquete,19.9,vivanda,NOVA,PASTELES SALADOS
Pasta Dental Colgate Luminous White 2x75ml,S/ 20.30,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,75.0,ml,Pasta Dental Colgate Luminous White 2x,20.3,vivanda,COLGATE,PASTELES SALADOS
Combo: 4 Empanadas de Pollo + Gaseosa Coca Cola Sin Azúcar 1.5L,S/ 21.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,1.5,l,Combo: 4 Empanadas de Pollo + Gaseosa Coca Cola Sin Azúcar,21.9,metro,,PASTELES SALADOS
Combo: 4 Empanadas de Carne + Gaseosa Coca Cola Sin Azúcar 1.5L,S/ 21.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,1.5,l,Combo: 4 Empanadas de Carne + Gaseosa Coca Cola Sin Azúcar,21.9,metro,,PASTELES SALADOS
Chifles Salados CRICKETS Bolsa 500g,S/ 21.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,500.0,g,Chifles Salados CRICKETS Bolsa,21.9,vivanda,CRICKET S,PASTELES SALADOS
