description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Bebida Rehidratante GATORADE Tropical Fruit Botella 500ml,S/ 2.90,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,500.0,ml,2.9,vivanda,GATORADE,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Cool Blue Botella 500ml,S/ 2.90,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,500.0,ml,2.9,vivanda,GATORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Tropical Botella 1 Litro,S/ 3.60,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,1.0,l,3.6,wong,,BEBIDA HIDRATANTE
Bebida Choco 800 mL,S/ 3.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,800.0,ml,3.9,tottus,VIGOR,BEBIDA HIDRATANTE
Bebida Sabor Mango 1 L,S/ 3.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.0,l,3.9,tottus,WATTS,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Tropical Botella 1L,S/ 3.90,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,1.0,l,3.9,vivanda,SPORADE,BEBIDA HIDRATANTE
Agua Mineral Sin Gas 2.5 L,S/ 3.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,2.5,l,3.9,tottus,SAN MATEO,BEBIDA HIDRATANTE
BEBIDA NARANJA X 970ML,S/ 3.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,970.0,ml,3.9,tottus,FRUGOS DEL VALLE,BEBIDA HIDRATANTE
Bebida Rehidratante Sporade Tropical Botella 1L,S/ 3.90,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,1.0,l,3.9,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante POWERADE Mora Azul Botella 1L,S/ 4.00,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,1.0,l,4.0,vivanda,POWERADE,BEBIDA HIDRATANTE
Bebida Rehidratante POWERADE Multifrutas Botella 1L,S/ 4.00,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,1.0,l,4.0,vivanda,POWERADE,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 1L,S/ 4.10,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,1.0,l,4.1,wong,,BEBIDA HIDRATANTE
Bebida Sabor Durazno 1 Lt Botella,S/ 4.50,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.0,l,4.5,tottus,FRUGOS DEL VALLE,BEBIDA HIDRATANTE
Chicha Morada 1 L,S/ 4.80,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.0,l,4.8,tottus,TOTTUS,BEBIDA HIDRATANTE
BEBIDA DE MANGO CAJA 1L,S/ 4.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.0,l,4.9,tottus,GLORIA,BEBIDA HIDRATANTE
BEBIDA BEAUTI DRINK BEAUTITOX 360 ML,S/ 4.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,360.0,ml,4.9,tottus,SAPPE,BEBIDA HIDRATANTE
