unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Doypack 500g,Sal Marina de Mesa EMSAL Ecológica Doypack 500...,S/ 4.59 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,500.0,g,4.59
Bolsa 1kg,Harina de Maíz Amarillo P.A.N. Precocida Bolsa...,S/ 9.50 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,1.0,kg,9.5
Bandeja 500g,Sopa Mixta BELL'S Bandeja 500g,S/ 9.99 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,500.0,g,9.99
Bolsa 300g,Cereal NATURANDES Harina de linaza Bolsa 300Gr,S/ 10 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,300.0,g,10.0
Bolsa 34g,Papas Artesanales LAYS Sal Marina Bolsa 34g,S/ 2.49 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,34.0,g,2.49
Bolsa 1Kg,Harina de Arroz COSTEÑO Bolsa 1kg,S/ 8.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,1.0,kg,8.9
Paquete 80un,Toallitas Húmedas HUGGIES Manitos y Carita Paq...,S/ 9.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,80.0,un,9.9
Doypack 300g,Harina de Avena Integral LA CASA MARIMIEL Doyp...,S/ 13.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,300.0,g,13.9
Bolsa 200g,Harina de Linaza LA CASA MARIMIEL Bolsa 200g,S/ 6.70 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,200.0,g,6.7
Bolsa 200g,Harina de Maca LA CASA MARIMIEL Bolsa 200g,S/ 15.50 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,200.0,g,15.5
Bolsa 142g,Papas Nativas Mixtas TIYAPUY Bolsa 142g,S/ 7.60 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,142.0,g,7.6
