description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Yogurt Griego Mango con Fresa Pote 1 Kg,S/ 13.44,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.0,kg,13.44
Yogurt Griego Descremado con Arándano Danlac Frasco 900g,S/ 19.40,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,900.0,g,19.4
Yogurt Batishake Gloria Vainilla Vaso 120 g,S/ 1.70,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,120.0,g,1.7
Yogurt Frutado con Fresa Danlac Botella 900g,S/ 11.50,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,900.0,g,11.5
Yogurt Griego Vakimu Arándano 1 Kg,S/ 13.44,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.0,kg,13.44
Yogurt Griego Danlac Sabor Natural Frasco 420g,S/ 11.90,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,420.0,g,11.9
Yogurt Bebible Gloria Fresa Botella 180 g,S/ 2.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,180.0,g,2.2
Yogurt Bebible Laive Sin Lactosa Sabor Vainilla Francesa 946g,S/ 6.30,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,946.0,g,6.3
Yogurt Gloria Griego con Miel 120g,S/ 2.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,120.0,g,2.2
Yogurt Bebible Gloria Slim Vainilla Galonera 1.7kg,S/ 9.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.7,kg,9.2
Yogurt Sin Lactosa Danlac Line Piña Pitahaya 900g,S/ 12.00,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,900.0,g,12.0
Yogurt Bebible Gloria Vainilla Botella 180 g,S/ 2.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,180.0,g,2.2
Yogurt Gloria Griego Sabor Frutos Rojos 800g,S/ 6.90,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,800.0,g,6.9
Yogurt Griego La Abuela Natural 1 kg,S/ 19.90,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.0,kg,19.9
Yogurt Bebible Gloria Slim Fresa Galonera 1.7kg,S/ 9.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.7,kg,9.2
Yogurt Gloria Griego Sabor Mango 120g,S/ 2.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,120.0,g,2.2
Yogurt Gloria Griego Sabor Natural 800g,S/ 6.90,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,800.0,g,6.9
Yogurt Battimix Gloria Vainilla C/Hojuelas Azucaradas Vaso 125 g,S/ 2.99,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.0,g,2.99
Yogurt Griego Sin Azúcar Tigo Premium 1kg,S/ 18.10,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.0,kg,18.1
Yogurt Battishake Gloria Fresa Vaso 120 g,S/ 1.70,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,120.0,g,1.7
Yogurt Bebible Laive Sin Lactosa Fresa 946g,S/ 6.30,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,946.0,g,6.3
Yogurt Frutado con Fresa Danlac 160g,S/ 5.50,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,160.0,g,5.5
