description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Chuleta de Pechuga de Pavita San Fernando x kg,S/ 29.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,29.9
Encuentro Especial Light de Pollo x kg,S/ 19.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,19.9
Lomo Fino Tierra del Fuego x kg,S/ 154.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,154.9
Churrasco Largo Nacional Porcionado x kg,S/ 36.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,36.9
Filete de Tilapia Umi Foods 1kg,S/ 23.50,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,23.5
Lomo Fino Uruguayo Dos Caminos x kg,S/ 145.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,145.9
Churrasco Largo Nacional x kg,S/ 36.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,36.9
Filete de Tilapia Cuisine & Co 500g,S/ 39.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,39.9
Asado de Pejerrey Wong Premium x kg,S/ 64.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,64.9
Bisteck de Tapa Wong Premium x kg,S/ 66.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,66.9
Pierna de Pollo Congelada San Fernando x kg,S/ 16.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,16.5
Ravioles de Carne Il Pastificio 500g,S/ 24.74,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,24.74
