description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Cereal Fruta Aros Maiz Cereal Angel Bolsa 420 g,S/ 16.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,420.0,g,16.9
Cereal Angel Chock Contenido 840 g,S/ 23.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,840.0,g,23.5
Cereal Corn Flakes Sin Gluten 180g,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,180.0,g,13.9
Cereal Infantil en Polvo Nestum Trigo y Miel 350g,S/ 19.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,350.0,g,19.9
Cereal Semillitas Con Harina 7 Semillas Angel Bolsa 350 g,S/ 14.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,350.0,g,14.9
Cereal Keto Catalina Crunch Cinnamon Toast 255g,S/ 56.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,255.0,g,56.9
Cereal para Bebés Gerber Corazoncitos 25g,S/ 12.10,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,25.0,g,12.1
Cereales Bañados con Chocolate Choco Yogurt 2 Cerritos Bolsa 125 g,S/ 11.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,125.0,g,11.5
Cereal de Quinua Nura Caramel Pops 200g,S/ 18.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,200.0,g,18.5
Cereal Sublime 230g,S/ 14.40,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,230.0,g,14.4
Cereales Kellogg's Hot Wheels Sabor Frutas 135g,S/ 12.00,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,135.0,g,12.0
Cereal Infantil en Polvo Nestum 5 Cereales 350g,S/ 19.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,350.0,g,19.9
Cereal Naturandes 7 Semillas Vainilla 200g,S/ 20.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,200.0,g,20.6
Cereal con Sabor a Frutas Angel Frutt Bolsa 840 gr,S/ 23.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,840.0,g,23.5
Cereal Naturandes 7 Semillas Clásico 200g,S/ 20.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,200.0,g,20.6
Cereal de Garbanzo Sabor Miel Vainilla Dyfferent 210g,S/ 16.10,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,210.0,g,16.1
Hojuelas de Maíz Corn Flakes Cuisine & Co Caja 500 g,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,500.0,g,13.9
Cereal Up Miel Cuisine & Co 380g,S/ 11.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,380.0,g,11.9
Pañales de Entrenamiento para Perros Simple Solution 10un,S/ 30.99,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,10.0,un,30.99
Cereales con Marshmellows Trix 300g,S/ 21.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,300.0,g,21.5
Hojuelas de Galletas Oreo 311g,S/ 42.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,311.0,g,42.9
Cereales Cuisine & Co Monstrobolitas 120g,S/ 3.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,120.0,g,3.5
Cereal Chocapic Minis 330g,S/ 17.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,330.0,g,17.5
Cereales Kellogg's Barbie Sabor Frutilla 135g,S/ 12.00,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,135.0,g,12.0
Cereal Flips Chocolate 220g,S/ 12.70,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,220.0,g,12.7
Removedor de Olor de Gato Simple Solution 500ml,S/ 39.99,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,500.0,ml,39.99
Cereal Azucarado Trix Minis 300g,S/ 16.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,300.0,g,16.9
Cereal Corn Flakes Ángel 650g,S/ 14.40,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,650.0,g,14.4
Cereal Up Tradicional Cuisine & Co 380g,S/ 11.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,380.0,g,11.9
Hojuelas de Maíz Orgánico Sin Gluten Fruit Juice Nature's Path Caja 300 g,S/ 27.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,300.0,g,27.5
Cereal Milo 320g,S/ 15.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,320.0,g,15.5
Cereal Orgánico Hearty Flakes Ecoandino Caja 300 g,S/ 23.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,300.0,g,23.9
Cereal Flips Dulce de Leche 220g,S/ 12.70,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,220.0,g,12.7
Cereal Azucarado Zucosos 500g,S/ 16.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,500.0,g,16.9
Hojuelas de Maíz Corn Flakes Cuisine & Co 200g,S/ 7.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,200.0,g,7.9
Spray de Entrenamiento para Perro Simple Solution 473ml,S/ 29.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,473.0,ml,29.9
Cereal de Maíz Azucarado Cuisine & Co Reggae Flakes 480g,S/ 10.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,480.0,g,10.9
Cereal Cuisine & Co Dj Honey 500g,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,500.0,g,13.9
Cereal Cuisine & Co Fruty Flow 370g,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,370.0,g,13.9
Hojuelas de Maíz con Miel Sin Gluten Nature's Path Caja 300 g,S/ 27.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,300.0,g,27.5
Cereal de Trigo Cuisine & Co Electro Choc 400g,S/ 12.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,400.0,g,12.9
Cereal Mix Avena y Almendras Cuisine & Co Caja 380 gr,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,380.0,g,13.9
Hojuelas de Chocolate Cocoa Pebbles 311g,S/ 34.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,311.0,g,34.9
Cereal Corn Flakes Caja 200 g,S/ 8.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,200.0,g,8.9
Cereal Zucaritas Milkshake de Fresa 330g,S/ 19.00,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,330.0,g,19.0
Hojuelas Integrales Honey Bunches Miel Tostada 340g,S/ 38.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,340.0,g,38.9
Cereal Ángel Diver Plátano & Manzana 350g,S/ 14.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,350.0,g,14.5
Cereal Kellogg's Choco Copos 310 g,S/ 18.10,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,310.0,g,18.1
Piña Golden Wong x kg,S/ 5.69 x kg,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,5.69
Avena Quaker Tradicional 900g,S/ 14.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,900.0,g,14.5
Piña Madura Golden x kg,S/ 9.89 x kg,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,9.89
Camote Amarillo Procesado Meza x kg,S/ 3.19 x kg,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,3.19
Carne para Guiso simple Wong Premium x kg,S/ 35.10 x kg,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,35.1
Camote Amarillo Procesado Wong x kg,S/ 3.19 x kg,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,3.19
Avena Tradicional Cuisine & Co 1kg,S/ 9.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,9.9
Granola con Miel de Abeja Unión Doypack 400g,S/ 15.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,400.0,g,15.5
Camote Morado Procesado x kg,S/ 3.19 x kg,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,3.19
Avena Precocida 3 Ositos 900g,S/ 11.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,900.0,g,11.5
Granola con Pasas y Almendras Unión Doypack 400g,S/ 16.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,400.0,g,16.5
Granola con Granos Andinos Unión Doypack 280g,S/ 15.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,280.0,g,15.9
