description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Aceite de Girasol Cuisine & Co 900ml,S/ 7.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,900.0,ml,7.9
Aceite de Coco Orgánico Peruvian Health 1L,S/ 80.00,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,80.0
Aceite de Oliva Santolivo Extra Virgen 1L,S/ 83.20,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,83.2
Aceite Oliva Cuisine & Co 250ml,S/ 19.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,250.0,ml,19.8
Aceite de Oliva Extra Virgen Carbonell Botella 250 ml,S/ 21.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,250.0,ml,21.9
Aceite de Maíz Mazola Original Botella 1.18 lt,S/ 55.40,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.18,l,55.4
Aceite de Canola Wesson Botella 710 ml,S/ 35.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,710.0,ml,35.8
Aceite de Oliva Fat Free Pam Spray 141 g,S/ 30.30,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,141.0,g,30.3
Aceite Oliva Cuisine & Co 500ml,S/ 36.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,36.8
Aceite de Ajonjoli Olivos del Sur 500ml,S/ 31.00,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,31.0
Aceite de Palta Virgen 250ml,S/ 37.70,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,250.0,ml,37.7
Aceite de Coco Virgen Mi Tierra Frasco 350 gr,S/ 39.00,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,350.0,g,39.0
Aceite de Oliva El Olivar Virgen Botella 1 L,S/ 83.00,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,83.0
Aceite de Oliva Carbonell Extra Virgen Spray 200 ml,S/ 25.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,200.0,ml,25.9
Aceite de Ajonjolí Olivos del Sur 200ml,S/ 14.50,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,200.0,ml,14.5
Aceite de Oliva Borges Extra Virgen Botella 250 ml,S/ 19.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,250.0,ml,19.9
Aceite de Oliva Extra Virgen Huerto Alamein 2L,S/ 158.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,2.0,l,158.8
Aceite de Ajonjolí Alida Chiang Botella 60 ml,S/ 9.40,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,60.0,ml,9.4
Aceite de Coco Orgánico Peruvian Health Frasco 250 ml,S/ 25.30,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,250.0,ml,25.3
Aceite de Oliva Cuisine & Co Botella 1 Lt,S/ 55.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,55.8
Aceite de Oliva Clásico Carbonell Botella 1 Lt,S/ 84.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,84.9
Aceite de Mantequilla Fat Free Pam Spray 141 g,S/ 30.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,141.0,g,30.8
Aceite de Oliva Filippo Berio Extra Virgen 250ml,S/ 27.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,250.0,ml,27.9
Aceite de Oliva Huerto Extra Virgen Alamein Premium 1L,S/ 84.20,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,84.2
Aceite de Maíz Arcor 900ml,S/ 24.20,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,900.0,ml,24.2
Aceite de Oliva Olivos del Sur Extra Virgen Botella 1 L,S/ 92.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,92.9
Aceite de Oliva La Española Extra Virgen Botella 250 ml,S/ 25.70,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,250.0,ml,25.7
Aceite de Oliva Filippo Berio Extra Virgen Botella Spray 200 ml,S/ 22.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,200.0,ml,22.9
Aceite Ajonjoli Olivos Del Sur 100 ml,S/ 12.40,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,100.0,ml,12.4
