brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
CAT CHOW,Alimento Seco Gato Esterilizado x 500 g,S/ 13.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,500.0,g,13.5
DOG CHOW,Alimento para perro Adulto Control de peso 2 kg,S/ 34.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,34.5
PURINA ONE,Alimento Gato Esterilizado Pollo Salmón 6 Kg,S/ 187.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,6.0,kg,187.5
PURINA ONE,Alimento Gato Adulto Pollo Salmón 6 Kg,S/ 187.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,6.0,kg,187.5
CAT CHOW,Alimento húmedo para Gatos Adultos Pollo 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5
CAT CHOW,Alimento húmedo para Gatos Adultos Pescado 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5
FRISKIES,Alimento seco para gatos ADULTOS Mar de Sabores de 1 kg,S/ 19.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,19.9
FRISKIES,Alimento seco para gatos Adultos Selección especial de 1 kg,S/ 19.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,19.9
CAT CHOW,Alimento húmedo para Gatos Gatitos Pollo 85 gr,S/ 3.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,3.9
SUSTAGEN,Alimento Lacteo Pro Altura Peso Vainilla 900G,S/ 97.91,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,900.0,g,97.91
FELIX,Alimento húmedo para gatos Paté Salmón 156 gr,S/ 5.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,156.0,g,5.9
CAT CHOW,Alimento para Gatos ESTERILIZADOS bolsa 3 kg,S/ 59.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,3.0,kg,59.9
PURINA,Alimento seco para gato GATI sabor pescado y salmón de 1 kg,S/ 16.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,16.9
FELIX,Alimento húmedo para gatos Classic con Carne 85 gr,S/ 5,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,5.0
FELIX,Alimento húmedo para gatos Classic con Atún 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5
FELIX,Alimento húmedo para gatos Classic con Salmón 85 gr,S/ 5,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,5.0
PURINA ONE,Alimento para gato sabor salmón en bolsa de 500 gr,S/ 23.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,500.0,g,23.5
SUSTAGEN,Alimento Lácteo Pro Altura Peso Vainilla 400 g,S/ 49.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,400.0,g,49.9
CAT CHOW,Alimento para Gatos adultos Delimix en bolsa 3 kg,S/ 59.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,3.0,kg,59.9
CAT CHOW,Alimento para Gatos Adulto Delimix en bolsa de 1 kg,S/ 26.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,26.5
DOG CHOW,Alimento para perro Cachorros Minis y Pequeños 2 kg,S/ 41.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,41.9
DOG CHOW,Alimento para perro Adultos Medianos y grandes 3 kg,S/ 46.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,3.0,kg,46.5
DOG CHOW,Alimento para perro Triple Proteína Adultos todos los tamaños 8 kg,S/ 101.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,8.0,kg,101.5
FELIX,Alimento húmedo para gatos Classic con Pescado Blanco 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5
PURINA ONE,Alimento húmedo para gatos Adulto y esterilizado supernutrientes de 85 gr,S/ 5.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,5.9
PURINA ONE,Alimento húmedo para gatos Adultos y Gatitos multiproteína de 85 gr,S/ 5.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,5.9
CAT CHOW,Alimento Seco Deli Mix Adulto x 500 g,S/ 13.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,500.0,g,13.5
CAT CHOW,Alimento Seco Gato Esterilizado +6M Bolsa x 1Kg,S/ 26.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,26.5
CAT CHOW,Alimento húmedo para Gatos Esterilizados con Pescado 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5
