description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Néctar de Piña Bajo en Calorías Ecofresh Botella 1L,,1.0,l,12.6,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,l,12.6,PIÑA
Pack Bebida FRUGOS Piña y Mandarina Caja 1L + Focaccia con Tomate Refrigerado LA FLORENCIA 1un,FRUGOS,1.0,l,12.6,vivanda,2024-12-07 14:25:47.164368,PIÑA,1.0,l,12.6,PIÑA
Helado Veggie Mango & Piña Lift Pote 110 g,,110.0,g,12.9,wong,2024-12-07 17:37:58.183202,PIÑA,110.0,g,12.9,PIÑA
Pulpa de Piña Golden Agroselva Doypack 250g,,250.0,g,12.99,metro,2024-12-07 20:27:41.757272,PIÑA,250.0,g,12.99,PIÑA
Tripack Agua de Piña Light con Arándanos Golden Botella 485ml,,485.0,ml,13.0,metro,2024-12-07 20:27:41.757272,PIÑA,485.0,ml,13.0,PIÑA
Piña en Rodajas BALI Lata 836g,BALI,836.0,g,13.4,vivanda,2024-12-07 14:25:47.164368,PIÑA,836.0,g,13.4,PIÑA
Piña en Trozos BELL'S Bandeja 700g,,700.0,g,13.49,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,700.0,g,13.49,PIÑA
Piña en Trozos Golden 500g,,500.0,g,13.49,wong,2024-12-07 17:37:58.183202,PIÑA,500.0,g,13.49,PIÑA
Piña en Trozos Golden 500g,,500.0,g,13.49,metro,2024-12-07 20:27:41.757272,PIÑA,500.0,g,13.49,PIÑA
Piña en Trozos Congelada BELL'S Bolsa 1kg,,1.0,kg,13.9,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,1.0,kg,13.9,PIÑA
Piña Hawai en Trozos Congelados 1kg,,1.0,kg,13.99,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,13.99,PIÑA
Pack Gaseosa PEPSI Botella 3L + Gaseosa CONCORDIA Piña Botella 3L,PEPSI,3.0,l,14.9,vivanda,2024-12-07 14:25:47.164368,PIÑA,3.0,l,14.9,PIÑA
Néctar de Tuna con Piña Bajo en Calorías Ecofresh Botella 1L,,1.0,l,14.9,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,l,14.9,PIÑA
Piña en Rodajas Golden 700g,,700.0,g,14.99,wong,2024-12-07 17:37:58.183202,PIÑA,700.0,g,14.99,PIÑA
"Mix de Fresa, Papaya y Piña Congelada EL FRUTERO Bolsa 1Kg",EL FRUTERO,1.0,kg,15.49,vivanda,2024-12-07 14:25:47.164368,PIÑA,1.0,kg,15.49,PIÑA
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",,1.0,kg,15.72,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,15.72,PIÑA
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",,1.0,kg,15.72,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,15.72,PIÑA
Luces Krea F8 Led Piñas Colores 50un,,8.0,l,16.5,metro,2024-12-07 20:27:41.757272,PIÑA,8.0,l,16.5,PIÑA
Luces Krea F8 Led Piñas Colores 50un,,8.0,l,16.5,wong,2024-12-07 17:37:58.183202,PIÑA,8.0,l,16.5,PIÑA
"Salsa de Rocoto, Coco y Piña Spitze Frasco 165 g",,165.0,g,16.5,wong,2024-12-07 17:37:58.183202,PIÑA,165.0,g,16.5,PIÑA
Infusiones WAWASANA Te verde piña Caja 50Un,WAWASANA,50.0,un,16.9,vivanda,2024-12-07 14:25:47.164368,PIÑA,50.0,un,16.9,PIÑA
Trozos de Piña Golden Congelada EL FRUTERO Bol...,,1.0,kg,16.99,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,1.0,kg,16.99,PIÑA
"Mix Fresa, Piña y Mango Congelado EL FRUTERO B...",,1.0,kg,16.99,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,1.0,kg,16.99,PIÑA
Piña Golden en Trozos Congelados 1kg,,1.0,kg,16.99,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,16.99,PIÑA
"Mix Fresa, Piña y Mango Congelado EL FRUTERO Bolsa 1kg",EL FRUTERO,1.0,kg,16.99,vivanda,2024-12-07 14:25:47.164368,PIÑA,1.0,kg,16.99,PIÑA
Trozos de Piña Golden Congelada EL FRUTERO Bolsa 1Kg,EL FRUTERO,1.0,kg,16.99,vivanda,2024-12-07 14:25:47.164368,PIÑA,1.0,kg,16.99,PIÑA
Té Verde Sabor a Piña con Stevia Wawasana 50un,,50.0,un,17.0,wong,2024-12-07 17:37:58.183202,PIÑA,50.0,un,17.0,PIÑA
Ready To Drink (RTD) PISCANO Sour Piña Colada ...,,700.0,ml,17.9,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,700.0,ml,17.9,PIÑA
Gaseosa PEPSI + 7UP + CONCORDIA Piña Botella 3L Paquete 3un,PEPSI,3.0,l,18.2,vivanda,2024-12-07 14:25:47.164368,PIÑA,3.0,l,18.2,PIÑA
Mermelada de Piña & Yacón con Agave ECOANDINO Orgánico Frasco 240g,ECOANDINO,240.0,g,19.5,vivanda,2024-12-07 14:25:47.164368,PIÑA,240.0,g,19.5,PIÑA
