description,price,website,search_term,scrape_timestamp
Torta Rectangular Chocolate con Manjar 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Regalo de Chocolate 20 Porciones,S/ 47.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Dulce de Leche 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Baileys 16 Porciones,S/ 56.18,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Frutos del Bosque 16 Porciones,S/ 65.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Mil Hojas con Manjar Blanco 12 Porciones,S/ 54.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Dulzura de Lúcuma 20 Porciones,S/ 48.72,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Festival Marshmallow 10 Porciones,S/ 26.50,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Chocolate con Manjar 16 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Café 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Chantilly Cocktail 16 Porciones,S/ 68.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Selva Negra con Durazno 16 Porciones,S/ 63.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Chantilly 16 Porciones,S/ 45.68,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Chantilly de Chocolate Alfinos 20 Porciones,S/ 84.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Piel de Durazno 20 Porciones,S/ 47.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Selva Negra 10 Porciones,S/ 46.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Naked Red Velvet 10 Porciones,S/ 58.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Red Velvet 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Helada de Duraznos 10 Porciones,S/ 29.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Red Velvet Dulce Pasión 10 Porciones,S/ 45.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Durazno 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta De Maracuyá Grande (20P),S/ 67.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Suspiro a la Limeña 16 Porciones,S/ 64.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Frutos del Bosque 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Rayas de Cereza 20 Porciones,S/ 59.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Selva Negra Chocolate 16 Porciones,S/ 62.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Chantilly Cuisine & Co 30 Porciones,S/ 89.00,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Fresa 10 Porciones,S/ 55.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Guanábana 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Guanábana xon Manjarblanco 16 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Grande 20 Porciones,S/ 69.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Imposible Cuisine & Co 6 Porciones,S/ 37.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Dulce de Leche 16 Porciones,S/ 53.50,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Selva Negra con Durazno 20 Porciones,S/ 73.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Dulce Bombon Cuisine & Co 6 Porciones,S/ 29.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Maracuyá 16 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Regalo de Chocolate 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tropical Dulce Pasión16 Porciones,S/ 61.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Milhojas con Crema Chantilly y Fresa,S/ 34.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches de Moka 16 Porciones,S/ 75.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Dulce de Café 16 Porciones,S/ 55.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches de Sauco 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches de Canela 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Durazno 16 Porciones,S/ 50.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Mil Hojas con Crema y Fresas 12 Porciones,S/ 56.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Candy Cake 16 Porciones,S/ 61.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Chantilly Tutti Fruti 20 Porciones,S/ 75.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches 6 Porciones,S/ 31.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Volador de Manjar Cuisine & Co,S/ 13.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches de Piña Colada Cuisine & Co 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Lúcuma 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Moka 16 Porciones,S/ 55.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Guanábana con Crema Pastelera 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches de Coco 16 Porciones,S/ 75.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Charlotte de Chocolate 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Mousse de Chirimoya 20 Porciones,S/ 66.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Naked Chocolate 10 Porciones,S/ 58.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Guanábana con Crema Pastelera 16 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Selva Negra Choco 6 Porciones,S/ 30.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Trufada Dulce Pasión 10 Porciones,S/ 61.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Chantilly de Guanábana Alfinos 20 Porciones,S/ 75.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Mazamorra Morada 8 Porciones,S/ 53.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Nueces Dulce Pasión 10 Porciones,S/ 74.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches de Piña Colada 16 Porciones,S/ 65.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Delicia de Fresa Dulce Pasión 16 Porciones,S/ 69.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Pistachos con Arándanos y Castañas Dulce Pasión,S/ 83.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Fresa y Coco 6 Porciones,S/ 33.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Arroz con Leche 8 Porciones,S/ 54.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Guanábana y Manjarblanco 10 Porciones,S/ 42.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Chocomanjar Alfinos 10 Porciones,S/ 41.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Moka 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Delicia de Fresa Dulce Pasión 10 Porciones,S/ 61.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta C/Mousse De Lucma Bon Bon,S/ 69.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Naked de Chocolate 6 Porciones,S/ 25.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Helada Chocolate y Vainilla 10 Porciones,S/ 40.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Dulce de Café 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Milhojas de Sauco 12 Porciones,S/ 54.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Tarta de Manzana,S/ 25.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Porta Torta Krea Rectangular,S/ 16.00,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Porta Torta Krea Circular,S/ 14.50,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Mini Torta Helada Corazón,S/ 7.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Mini Torta Navidad Corona 6 Porciones,S/ 23.50,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Mini Torta Futbolera Blanquiroja 6 Porciones,S/ 23.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Cheesecake Horneado de Maracuyá Dulce Pasión 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Crema Volteada Cuisine & Co 8 Porciones,S/ 23.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Mini Torta Navidad Reno 6 Porciones,S/ 23.50,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
