description,price,website,search_term,scrape_timestamp
Quinua tricolor Vida & Quinua Bolsa 454 g,S/ 15.30,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejón Bolsa 350 g,S/ 4.75,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejón Costeño 500g,S/ 6.80,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Baby Paisana Bolsa 500 g,S/ 6.70,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Blanca Orgánica Vidandina Doypack 454 g,S/ 18.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Maíz Chulpi Desgranado Kuski Bolsa 425 g,S/ 14.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Tricolor Orgánica Vidaandina Bolsa 454 g,S/ 17.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Valle Norte Bolsa 500 g,S/ 6.20,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejón Tesoro Del Campo Bolsa 500 g,S/ 6.10,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Roja Vidandina Doypack 454 g,S/ 12.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejas Paisana Bolsa 500 g,S/ 6.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Blanca Vidandina Doypack 454 g,S/ 14.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Negra Vidandina Doypack 454 g,S/ 13.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Granos Del Sur,S/ 6.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Granos Del Sur 500g,S/ 9.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Trigo Mote Granos Del Sur,S/ 4.80,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejon Granos Del Sur,S/ 6.10,metro,LENTEJA,2024-12-04 14:59:40.839934
Pack Fiesta Grageas Confitadas Lentejas Mini 240g,S/ 15.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejas Casa Verde Listas para Comer 750 g,S/ 13.60,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejas Preparadas Cuisine & Co 425g,S/ 8.70,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejas Lorenzo 425g,S/ 7.80,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejas Aderezadas Casa Verde 360g,S/ 7.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Grageas Confitadas Lentejas Caja 30 g,S/ 2.00,metro,LENTEJA,2024-12-04 14:59:40.839934
Hamburguesa Vegetariana de Lentejas Della Natura 400g,S/ 19.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Hamburguesas de Lentejas y Champiñones Sanúa 5un,S/ 22.40,metro,LENTEJA,2024-12-04 14:59:40.839934
Sopa de Lentejas Auga 430g,S/ 19.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Mini Hamburguesas de Lentejas y Champiñones Sanúa 10un,S/ 21.60,metro,LENTEJA,2024-12-04 14:59:40.839934
