Nombre;precio;website;scrape_timestamp
Arroz Superior Costeño Bolsa 750G;4.5;Pedidos Ya;2024-12-02 06:35:14.947340
Piña En Rodajas Fanny 567Gr;14.9;Pedidos Ya;2024-12-02 06:35:14.947340
Pallar Costeño Bolsa 500 g;8.2;Pedidos Ya;2024-12-02 06:35:14.947340
Leche Condensada Nestlé Lata 100G;4.2;Pedidos Ya;2024-12-02 06:35:14.947340
Cereal Fitness Nestle Honey & Almond Cer 330G;21.9;Pedidos Ya;2024-12-02 06:35:14.947340
Papa Seca Costeño 500gr;8.5;Pedidos Ya;2024-12-02 06:35:14.947340
Costeño Azúcar Rubia 1kg;6.9;Pedidos Ya;2024-12-02 06:35:14.947340
Lentejón Costeño Bolsa 500 g;7.6;Pedidos Ya;2024-12-02 06:35:14.947340
Frijol Red Kidney Costeño 500gr;8.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sazonador Costeño Pops sabor Queso 64g;10.5;Pedidos Ya;2024-12-02 06:35:14.947340
Harina de Arroz Costeño 1 g;9.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sopa Instantánea Ajinomen Oriental 80gr;2.1;Pedidos Ya;2024-12-02 06:35:14.947340
Azúcar Blanca Dulfina Bolsa 1 kg;6.5;Pedidos Ya;2024-12-02 06:35:14.947340
Sopa Instantanea Con Fideos Aji-No-Men Sabor Carne 80Gr;2.1;Pedidos Ya;2024-12-02 06:35:14.947340
Fanny Mermelada Fresa Barril 950g;15.0;Pedidos Ya;2024-12-02 06:35:14.947340
Sopa Instantanea Ajinomen Sabor Carne Vaso 51g;3.8;Pedidos Ya;2024-12-02 06:35:14.947340
Cocktail De Frutas Fanny 820Gr;20.9;Pedidos Ya;2024-12-02 06:35:14.947340
Fanny Doypack Mermelada 700 g;10.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ketchup A La Cena Doy Pack 380 G;10.2;Pedidos Ya;2024-12-02 06:35:14.947340
Azúcar Rubia Cartavio Bolsa 5 kg;22.9;Pedidos Ya;2024-12-02 06:35:14.947340
Gelatina De Fresa Royal Sobre 160 Gr;4.9;Pedidos Ya;2024-12-02 06:35:14.947340
Mermelada De Fresa Deli Fanny Doypack 700 Gr;8.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sal de Mesa Marina Emsal Bolsa 1 kg;2.9;Pedidos Ya;2024-12-02 06:35:14.947340
Mermelada Fanny Fresa 950 g;15.9;Pedidos Ya;2024-12-02 06:35:14.947340
Bonle Manjarblanco Sachet X 200 Gr;5.5;Pedidos Ya;2024-12-02 06:35:14.947340
Sopa Instantanea Ajinomen Sabor Pollo 51g;3.8;Pedidos Ya;2024-12-02 06:35:14.947340
Vinagre Florida Blanco 1 lt;5.5;Pedidos Ya;2024-12-02 06:35:14.947340
Ajo Molido Piki Doypack 120G;4.1;Pedidos Ya;2024-12-02 06:35:14.947340
Café Instantáneo Altomayo Clásico Doy Pack 45 G;6.5;Pedidos Ya;2024-12-02 06:35:14.947340
Tallarin Instantáneo Saltado Ajinomen Sobre 100 g;2.2;Pedidos Ya;2024-12-02 06:35:14.947340
Café Istantaneo Altomayo Gourmet Doypack 45 G;8.5;Pedidos Ya;2024-12-02 06:35:14.947340
Granola con Granos Andinos Unión Doypack 280 g;15.9;Pedidos Ya;2024-12-02 06:35:14.947340
Granola con Pasas y Almendras Unión Doypack 400 g;16.8;Pedidos Ya;2024-12-02 06:35:14.947340
Mezcla Para Apanar Aji-No-Mix Apanado 96 Gr;3.5;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Extra Paisana Bolsa 1 kg;5.8;Pedidos Ya;2024-12-02 06:35:14.947340
Crema Huancaina Alacena 400 G;14.5;Pedidos Ya;2024-12-02 06:35:14.947340
Bonle Manjar blanco X 500 Gr;12.9;Pedidos Ya;2024-12-02 06:35:14.947340
Manjarblanco Bonlé 250Gr;7.5;Pedidos Ya;2024-12-02 06:35:14.947340
Café Tostado Molido Altomayo Clásico 450 Gr;27.9;Pedidos Ya;2024-12-02 06:35:14.947340
Café Nescafé Fina Selección Frasco 200G;32.9;Pedidos Ya;2024-12-02 06:35:14.947340
Florida Trozos De Atún Aceite Vegetal 140G;7.2;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Valle Norte Superior Bolsa 750 g;4.5;Pedidos Ya;2024-12-02 06:35:14.947340
Pack 2 Azúcar Rubia Cartavio 1 kg;15.0;Pedidos Ya;2024-12-02 06:35:14.947340
Tallarín Rojo Instantáneo Ajinomen Bolsa 100G;2.5;Pedidos Ya;2024-12-02 06:35:14.947340
Café Inst Gourmet Frasco Altomayo 45 Gr;12.4;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Superior Paisana Bolsa 5 kg;24.9;Pedidos Ya;2024-12-02 06:35:14.947340
3 Ositos Avena Premium 900 g;11.5;Pedidos Ya;2024-12-02 06:35:14.947340
Canela Entera Sibarita Sobre 10 g;3.3;Pedidos Ya;2024-12-02 06:35:14.947340
Pack 2 Azúcar Rubia Dulfina Bolsa 1 kg;11.0;Pedidos Ya;2024-12-02 06:35:14.947340
Azucar Blanca Cartavio x 5 kg bolsa;28.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ají Panca Sibarita Panquita Doypack 250gr;8.9;Pedidos Ya;2024-12-02 06:35:14.947340
Mantequilla De Mani Doy Pack 200Gr Union;11.0;Pedidos Ya;2024-12-02 06:35:14.947340
Hongos con Laurel Sibarita Sobre 10 g;2.5;Pedidos Ya;2024-12-02 06:35:14.947340
Avena Quaker Tradicional 500g;8.9;Pedidos Ya;2024-12-02 06:35:14.947340
Florida Filete De Atún Agua Y Sal 140 g;7.9;Pedidos Ya;2024-12-02 06:35:14.947340
Café Instantáneo Altomayo Gourmet Doy pack 150 g;27.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sopa Instantanea Ajinomen Vaso Pollo + Quinoa;4.2;Pedidos Ya;2024-12-02 06:35:14.947340
Cereal Angel Copix Chocolate Con Marshmallows Bolsa 380 g;12.9;Pedidos Ya;2024-12-02 06:35:14.947340
Crema de Rocoto Uchucuta AlaCena Doypack 400 g;14.5;Pedidos Ya;2024-12-02 06:35:14.947340
Lenteja Bebé Vallenorte Bolsa 500 Gr;6.9;Pedidos Ya;2024-12-02 06:35:14.947340
Pop Corn Paisana 500gr;4.6;Pedidos Ya;2024-12-02 06:35:14.947340
Manzanilla Hornimans Display 25 Und;3.9;Pedidos Ya;2024-12-02 06:35:14.947340
Vinagre Blanco Florida Botella Plástica 625 ml;3.86;Pedidos Ya;2024-12-02 06:35:14.947340
Café Molido Altomayo Clásico Normal Bolsa 200 G;11.6;Pedidos Ya;2024-12-02 06:35:14.947340
Café Tostado Altomayo Molido Gourmet para pasar bolsa 200 gr;24.9;Pedidos Ya;2024-12-02 06:35:14.947340
Vainilla Umsha 90ml;2.9;Pedidos Ya;2024-12-02 06:35:14.947340
Azucar Blanca  Refinada Dulfina 5Kg;26.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ají Amarillo Sibarita Amarillin Doypack 250gr;12.9;Pedidos Ya;2024-12-02 06:35:14.947340
Aceite De Oliva El Olivar Extra Virgen Botella 200 ml;22.0;Pedidos Ya;2024-12-02 06:35:14.947340
Sólido De Atún En Aceite Vegetal Florida 140 Gr;6.9;Pedidos Ya;2024-12-02 06:35:14.947340
Mayonesa Alacena 95G;4.2;Pedidos Ya;2024-12-02 06:35:14.947340
Mantequilla De Maní 410 Gr Unión;25.9;Pedidos Ya;2024-12-02 06:35:14.947340
Café Tostado Altomayo Molido Gourmet para pasar bolsa 450 gr;37.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ají Pollero Casa Verde x 75gr;4.9;Pedidos Ya;2024-12-02 06:35:14.947340
Dip Con Palta Casa Verde 225G;9.9;Pedidos Ya;2024-12-02 06:35:14.947340
Germen De Trigo Unión 400g;11.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ají Amarillo Piki Molido Doypack 120Gr;4.1;Pedidos Ya;2024-12-02 06:35:14.947340
Café Instantáneo Altomayo Clásico Frasco 50G;8.9;Pedidos Ya;2024-12-02 06:35:14.947340
Filete De Atún Campomar En Aceite Vegetal 150Gr;6.9;Pedidos Ya;2024-12-02 06:35:14.947340
Café Instantáneo Altomayo Clásico Doy pack 80 g;13.5;Pedidos Ya;2024-12-02 06:35:14.947340
Orégano Entero Sibarita Sobre 9 g;1.9;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa De Carne Antigua Taberna Queirolo 250G;18.0;Pedidos Ya;2024-12-02 06:35:14.947340
Altomayo Café Instánteo Clásico Frasco 45 g;7.9;Pedidos Ya;2024-12-02 06:35:14.947340
Café Inst Gourmet Doy Pack Altomayo 90 Gr;19.9;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Extra Gran Reserva Vallenorte 5 Kg;29.5;Pedidos Ya;2024-12-02 06:35:14.947340
Filete De Atún En Aceite De Girasol Florida 140 Gr;8.0;Pedidos Ya;2024-12-02 06:35:14.947340
Lenteja Paisana 500gr;8.5;Pedidos Ya;2024-12-02 06:35:14.947340
Anís Hornimans Display 25 Und;3.9;Pedidos Ya;2024-12-02 06:35:14.947340
Vinagre Florida Tinto 1 lt;5.5;Pedidos Ya;2024-12-02 06:35:14.947340
Fideos Fetuccine Antigua Taberna Queirolo 500 GR;10.0;Pedidos Ya;2024-12-02 06:35:14.947340
Altomayo Café Instánteo Clásico Frasco 170 g;21.9;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa Pomarola Antigua Taberna Queirolo 250 GR;17.0;Pedidos Ya;2024-12-02 06:35:14.947340
