description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Salsa Roja Peruana Casa Verde 200g,S/ 6.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,200.0,g,Salsa Roja Peruana Casa Verde,6.5,metro,,VAINITA VERDE (AMERICANA)
Salad Mix Línea Verde 150g,S/ 6.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,1.0,l,Salad Miínea Verde,6.5,metro,,VAINITA VERDE (AMERICANA)
Mix de Lechugas Baby Verde Puro 150g,S/ 6.60,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,150.0,g,Mix de Lechugas Baby Verde Puro,6.6,metro,,VAINITA VERDE (AMERICANA)
Salsa Roja Peruana Casa Verde 200g,S/ 6.70,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,200.0,g,Salsa Roja Peruana Casa Verde,6.7,wong,,VAINITA VERDE (AMERICANA)
Mix de Lechugas BB Verde Puro Bolsa 100 g,S/ 6.70,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,100.0,g,Mix de Lechugas BB Verde Puro Bolsa,6.7,metro,,VAINITA VERDE (AMERICANA)
Arúgula Fresca Verde Puro 160g,S/ 6.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,160.0,g,Arúgula Fresca Verde Puro,6.9,metro,,VAINITA VERDE (AMERICANA)
Ensalada Personal Verde Puro 140g,S/ 6.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,140.0,g,Ensalada Personal Verde Puro,6.9,metro,,VAINITA VERDE (AMERICANA)
Albahaca Fresca Verde Puro 120g,S/ 7.10,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,120.0,g,Albahaca Fresca Verde Puro,7.1,wong,,VAINITA VERDE (AMERICANA)
Kale Verde Puro 100g,S/ 7.10,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,100.0,g,Kale Verde Puro,7.1,metro,,VAINITA VERDE (AMERICANA)
Espinaca Entera Verde Puro 500g,S/ 7.20,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,500.0,g,Espinaca Entera Verde Puro,7.2,metro,,VAINITA VERDE (AMERICANA)
Garbanzos Casa Verde 340g,S/ 7.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,340.0,g,Garbanzos Casa Verde,7.5,metro,,VAINITA VERDE (AMERICANA)
Quinua Bicolor Casa Verde 240g,S/ 7.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,240.0,g,Quinua Bicolor Casa Verde,7.5,metro,,VAINITA VERDE (AMERICANA)
Ensalada Personal Verde Puro 140g,S/ 7.60,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,140.0,g,Ensalada Personal Verde Puro,7.6,wong,,VAINITA VERDE (AMERICANA)
Arúgula Silvestre Verde Puro 120g,S/ 7.70,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,120.0,g,Arúgula Silvestre Verde Puro,7.7,metro,,VAINITA VERDE (AMERICANA)
Sacagrasa MR. MÚSCULO Verde Repuesto Doypack 500ml,S/ 7.70,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,500.0,ml,Sacagrasa MR. MÚSCULO Verde Repuesto Doypack,7.7,vivanda,MR MUSCULO,VAINITA VERDE (AMERICANA)
Kale Verde Puro 100g,S/ 7.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,100.0,g,Kale Verde Puro,7.9,wong,,VAINITA VERDE (AMERICANA)
Salsa Verde Peruana Casa Verde 190g,S/ 7.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,190.0,g,Salsa Verde Peruana Casa Verde,7.9,wong,,VAINITA VERDE (AMERICANA)
Salsa Verde Peruana Casa Verde 190g,S/ 7.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,190.0,g,Salsa Verde Peruana Casa Verde,7.9,metro,,VAINITA VERDE (AMERICANA)
Bowl de Quinua Con Salsa de Alcachofa y Pimiento Rostizado 225 g,S/ 7.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,225.0,g,Bowl de Quinua Con Salsa de Alcachofa y Pimiento Rostizado,7.9,metro,,VAINITA VERDE (AMERICANA)
Salsa Verde Peruana CASA VERDE Frasco 190g,S/ 7.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,190.0,g,Salsa Verde Peruana CASA VERDE Frasco,7.9,vivanda,CASAVERDE,VAINITA VERDE (AMERICANA)
Bowl de Quinua Con Salsa de Alcachofa y Pimiento Rostizado 225 g,S/ 7.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,225.0,g,Bowl de Quinua Con Salsa de Alcachofa y Pimiento Rostizado,7.9,wong,,VAINITA VERDE (AMERICANA)
Bowl de Quinua con Salsa de Alcachofa y Pimiento CASA VERDE 225g,S/ 7.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,225.0,g,Bowl de Quinua con Salsa de Alcachofa y Pimiento CASA VERDE,7.9,vivanda,CASA VERDE,VAINITA VERDE (AMERICANA)
Aceitunas Verdes Deshuesadas 210g,S/ 7.92,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,210.0,g,Aceitunas Verdes Deshuesadas,7.92,metro,,VAINITA VERDE (AMERICANA)
Habas x kg,S/ 7.99 x kg,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,1.0,kg,Habas,7.99,metro,,VAINITA VERDE (AMERICANA)
Lechuga Hidropónica Verde Puro x un.,S/ 8.00,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,1.0,un,Lechuga Hidropónica Verde Puro .,8.0,wong,,VAINITA VERDE (AMERICANA)
Manzana Verde x kg,S/ 8.16 x kg,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,1.0,kg,Manzana Verde,8.16,metro,,VAINITA VERDE (AMERICANA)
Sopa de Verduras Don Verde 250g,S/ 8.20,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,250.0,g,Sopa de Verduras Don Verde,8.2,metro,,VAINITA VERDE (AMERICANA)
Frejoles Aderezados Casa Verde 360g,S/ 8.20,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,360.0,g,Frejoles Aderezados Casa Verde,8.2,metro,,VAINITA VERDE (AMERICANA)
Conserva Alcachofa Grilled Frasco 220 g,S/ 8.30,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,220.0,g,Conserva Alcachofa Grilled Frasco,8.3,wong,,VAINITA VERDE (AMERICANA)
