description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chocolate con Leche con Almendras Sublime Tableta 50 g,S/ 4.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,50.0,g,Chocolate con Leche con Almendras Sublime Tableta,4.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate KitKat Tableta 41.5 g,S/ 4.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,41.5,g,Chocolate KitKat Tableta,4.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate KitKat Tableta 41.5 g,S/ 4.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,41.5,g,Chocolate KitKat Tableta,4.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Relleno con Jalea de Maracuyá Britt 28g,S/ 4.99,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,28.0,g,Chocolate Relleno con Jalea de Maracuyá Britt,4.99,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Relleno con Granos de Café Britt 28g,S/ 4.99,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,28.0,g,Chocolate Relleno con Granos de Café Britt,4.99,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Mantequilla de Maní Reese's 42g,S/ 5.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,42.0,g,Chocolate con Mantequilla de Maní Reese's,5.0,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate COSTA Vizzio Caja 69g,S/ 5.00,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,69.0,g,Chocolate COSTA Vizzio Caja,5.0,vivanda,COSTA,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Bitter Vizzio Costa 69g,S/ 5.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,69.0,g,Chocolate Bitter Vizzio Costa,5.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate a la Taza Winter's 90g,S/ 5.70,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,90.0,g,Chocolate a la Taza Winter's,5.7,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Oscuro Mauxion Salut 100g,S/ 5.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate Oscuro Mauxion Salut,5.8,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Mont Blanc Sin Azúcar 50g,S/ 6.00,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,50.0,g,Chocolate con Leche Mont Blanc Sin Azúcar,6.0,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Mont Blanc Sin Azúcar 50g,S/ 6.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,50.0,g,Chocolate con Leche Mont Blanc Sin Azúcar,6.0,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
