unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
,Goma de Mascar WRIGLEYS Orbit Verde Caja 14un,S/ 6.70,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,14.0,un,Goma de Mascar WRIGLEYS Orbit Verde Caja,6.7,vivanda,WRIGLEY S,GOMA DE MASCAR
,Goma de Mascar WRIGLEYS Orbit Azul Caja 12un,S/ 6.70,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,12.0,un,Goma de Mascar WRIGLEYS Orbit Azul Caja,6.7,vivanda,WRIGLEY S,GOMA DE MASCAR
Envase 30g,Goma de Mascar MENTOS Frutos Rojos Envase 30g,S/ 8.30 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,30.0,g,Goma de Mascar MENTOS Frutos Rojos Envase,8.3,plaza_vea,,GOMA DE MASCAR
Frasco 30g,Goma de Mascar con Centro Líquido MENTOS Fresh...,S/ 8.30 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,30.0,g,Goma de Mascar con Centro Líquido MENTOS Fresh,8.3,plaza_vea,,GOMA DE MASCAR
Frasco 30g,Goma de Mascar con Centro Líquido MENTOS Spear...,S/ 8.30 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,30.0,g,Goma de Mascar con Centro Líquido MENTOS Spear,8.3,plaza_vea,,GOMA DE MASCAR
,Golosina ARCOR Masticable Frutas Bolsa 412 g,S/ 8.90,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,412.0,g,Golosina ARCOR Masticable Frutas Bolsa,8.9,vega,Arcor,GOMA DE MASCAR
Empaque 44.6g,Goma de Mascar TRIDENT Fresa y Limón Empaque 4...,S/ 8.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,44.6,g,Goma de Mascar TRIDENT Fresa y Limón Empaque 4,8.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Menta Envase 45.5g,S/ 9.20,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,45.5,g,Goma de Mascar TRIDENT Menta Envase,9.2,vivanda,TRIDENT,GOMA DE MASCAR
,Goma de Mascar TRIDENT Yerbabuena Botella 45.5g,S/ 9.20,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,45.5,g,Goma de Mascar TRIDENT Yerbabuena Botella,9.2,vivanda,TRIDENT,GOMA DE MASCAR
,Gomas de mascar GROSSO Sabores Surtidos Bolsa 325g,S/ 9.90,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,325.0,g,Gomas de mascar GROSSO Sabores Surtidos Bolsa,9.9,vega,Sapito,GOMA DE MASCAR
Envase de Plastico 56.7g,Goma de Mascar WRIGLEY S Hubba Bubba Envase 56...,S/ 10.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,56.7,g,Goma de Mascar WRIGLEY S Hubba Bubba Envase 56,10.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar WRIGLEY S Hubba Bubba Envase 56.7g,S/ 12.60,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,56.7,g,Goma de Mascar WRIGLEY S Hubba Bubba Envase,12.6,vivanda,WRIGLEY S,GOMA DE MASCAR
,Goma de Mascar sin Azúcar TRIDENT Fresa y Limón 10un x17g,S/ 24.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,10.0,un,Goma de Mascar sin Azúcar TRIDENT Fresa y Limón  x,24.9,vivanda,TRIDENT,GOMA DE MASCAR
Paquete 12un,Goma de Mascar TRIDENT Evup Coolb Paquete 12un,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Evup Coolb Paquete,32.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Evup Coolb Paquete 12un,S/ 32.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,12.0,un,Goma de Mascar TRIDENT Evup Coolb Paquete,32.9,vivanda,TRIDENT,GOMA DE MASCAR
Caja 12un,Goma de Mascar TRIDENT Sabor a Sandía Caja 12u...,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Sabor a Sandía Caja 12u,32.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Sabor a Sandía Caja 12un,S/ 32.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,12.0,un,Goma de Mascar TRIDENT Sabor a Sandía Caja,32.9,vivanda,TRIDENT,GOMA DE MASCAR
Caja 12un,Goma de Mascar TRIDENT Evup Herbal Caja 12un,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Evup Herbal Caja,32.9,plaza_vea,,GOMA DE MASCAR
Caja 12un,Goma de Mascar TRIDENT Evup Fresh Caja 12un,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Evup Fresh Caja,32.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Evup Sabor a Mora Caja 18un,S/ 32.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,18.0,un,Goma de Mascar TRIDENT Evup Sabor a Mora Caja,32.9,vivanda,TRIDENT,GOMA DE MASCAR
Caja 18un,Goma de Mascar TRIDENT Evup Sabor a Mora Caja ...,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,18.0,un,Goma de Mascar TRIDENT Evup Sabor a Mora Caja,32.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar sin Azúcar TRIDENT Menta 6 x45.5g,S/ 41.20,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,45.5,g,Goma de Mascar sin Azúcar TRIDENT Menta 6 x,41.2,vivanda,TRIDENT,GOMA DE MASCAR
,Goma de Mascar sin Azúcar TRIDENT Fresa 6un x45.5g,S/ 41.20,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,6.0,un,Goma de Mascar sin Azúcar TRIDENT Fresa  x,41.2,vivanda,TRIDENT,GOMA DE MASCAR
,Goma de Mascar TRIDENT Yerbabuena Caja 12un,S/ 43.30,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,12.0,un,Goma de Mascar TRIDENT Yerbabuena Caja,43.3,vivanda,TRIDENT,GOMA DE MASCAR
Caja 12un,Goma de Mascar TRIDENT Yerbabuena Caja 12un,S/ 43.30 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Yerbabuena Caja,43.3,plaza_vea,,GOMA DE MASCAR
