description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,CLASIFICACION
Salame Italiano Loncheado Zimmermann Paquete 100 g,S/ 13.52,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,100.0,g,Salame Italiano Loncheado Zimmermann Paquete,13.52,wong,,TOMATE ITALIANO O MARSANO
Passata de Tomate MUTTI Frasco 400g,S/ 13.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,400.0,g,Passata de Tomate MUTTI Frasco,13.9,plaza_vea,Frasco 400g,TOMATE ITALIANO O MARSANO
Langostinos Precocidos Congelados Azul Marino Bolsa 200 g,S/ 13.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,200.0,g,Langostinos Precocidos Congelados Azul Marino Bolsa,13.9,metro,,TOMATE ITALIANO O MARSANO
Salsa para Pastas Filippo Berio Tomate Pesto Frasco 190 g,S/ 13.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,190.0,g,Salsa para Pastas Filippo Berio Tomate Pesto Frasco,13.9,wong,,TOMATE ITALIANO O MARSANO
Ensalada Italiana HOME CHEF Bandeja 1un,S/ 13.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Ensalada Italiana HOME CHEF Bandeja,13.9,plaza_vea,Bandeja 1un,TOMATE ITALIANO O MARSANO
Chorizo Cóctel Italiano Precocido La Segoviana 300g,S/ 14.10,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,300.0,g,Chorizo Cóctel Italiano Precocido La Segoviana,14.1,metro,,TOMATE ITALIANO O MARSANO
Langostinos Precocidos Congelados Azul Marino Bolsa 200 g,S/ 14.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,200.0,g,Langostinos Precocidos Congelados Azul Marino Bolsa,14.5,wong,,TOMATE ITALIANO O MARSANO
Mixtura de Mariscos Congelada 400g,S/ 14.50,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,400.0,g,Mixtura de Mariscos Congelada,14.5,metro,,TOMATE ITALIANO O MARSANO
Mixtura de Mariscos Congelada 400g,S/ 14.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,400.0,g,Mixtura de Mariscos Congelada,14.9,wong,,TOMATE ITALIANO O MARSANO
Salsa de Tomate Colavita 680g,S/ 14.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,680.0,g,Salsa de Tomate Colavita,14.9,metro,,TOMATE ITALIANO O MARSANO
Salsa de Tomate Colavita 680g,S/ 14.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,680.0,g,Salsa de Tomate Colavita,14.9,wong,,TOMATE ITALIANO O MARSANO
Salsa de Tomate Estilo Casero Sin Gluten Helios Frasco 300 g,S/ 15.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,300.0,g,Salsa de Tomate Estilo Casero Sin Gluten Helios Frasco,15.9,wong,,TOMATE ITALIANO O MARSANO
"Dip Vegetariano Delice Champiñones, berenjena y tomate seco Pote 140 g",S/ 15.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,140.0,g,"Dip Vegetariano Delice Champiñones, berenjena y tomate seco Pote",15.9,wong,,TOMATE ITALIANO O MARSANO
Pimiento Justo al Día 700g,S/ 15.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,700.0,g,Pimiento Justo al Día,15.9,wong,,TOMATE ITALIANO O MARSANO
Hierbas y Especias Italianas Orgánicas Badia Frasco 21.3 g,S/ 16.50,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,21.3,g,Hierbas y Especias Italianas Orgánicas Badia Frasco,16.5,metro,,TOMATE ITALIANO O MARSANO
Salame Italiano Loncheado Zimmermann Paquete 100 g,S/ 16.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,100.0,g,Salame Italiano Loncheado Zimmermann Paquete,16.9,metro,,TOMATE ITALIANO O MARSANO
Mondongo Picado a La Italiana x kg,S/ 16.90 x kg,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,1.0,kg,Mondongo Picado a La Italiana,16.9,metro,,TOMATE ITALIANO O MARSANO
Mondonguito Italiano Schilcayo 1kg,S/ 16.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,1.0,kg,Mondonguito Italiano Schilcayo,16.9,metro,,TOMATE ITALIANO O MARSANO
Mondongo Picado a La Italiana x kg,S/ 17.50 x kg,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,1.0,kg,Mondongo Picado a La Italiana,17.5,wong,,TOMATE ITALIANO O MARSANO
Paper Mate Lapiceros Punta Media Flair Candy Pop! Pack 6 unid,S/ 17.57,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,6.0,un,Paper Mate Lapiceros Punta Media Flair Candy Pop! Pack,17.57,metro,,TOMATE ITALIANO O MARSANO
Passata de Tomate MUTTI Frasco 700g,S/ 17.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,g,Passata de Tomate MUTTI Frasco,17.9,plaza_vea,Frasco 700g,TOMATE ITALIANO O MARSANO
Mondonguito Italiano Schilcayo 1kg,S/ 17.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,1.0,kg,Mondonguito Italiano Schilcayo,17.9,wong,,TOMATE ITALIANO O MARSANO
Puré de Tomate Gourmet117 680g,S/ 18.70,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,680.0,g,Puré de Tomate Gourmet117,18.7,metro,,TOMATE ITALIANO O MARSANO
Puré de Tomate Gourmet117 680g,S/ 18.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,680.0,g,Puré de Tomate Gourmet117,18.9,wong,,TOMATE ITALIANO O MARSANO
Chorizo Ibérico Enrique Tomás 80g,S/ 19.13,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,80.0,g,Chorizo Ibérico Enrique Tomás,19.13,wong,,TOMATE ITALIANO O MARSANO
Langostinos Crudos AZUL MARINO Bolsa 300g,S/ 19.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,300.0,g,Langostinos Crudos AZUL MARINO Bolsa,19.9,plaza_vea,Bolsa 300g,TOMATE ITALIANO O MARSANO
Pisco Italia Kuskalla Botella 750 ml,S/ 19.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Italia Kuskalla Botella,19.9,metro,,TOMATE ITALIANO O MARSANO
Polpa de Tomate MUTTI con Albahaca Frasco 700g,S/ 19.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,g,Polpa de Tomate MUTTI con Albahaca Frasco,19.9,plaza_vea,Frasco 700g,TOMATE ITALIANO O MARSANO
Conchas de Abanico AZUL MARINO Media Valva Bol...,S/ 19.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,6.0,un,Conchas de Abanico AZUL MARINO Media Valva Bol,19.9,plaza_vea,Bolsa 6un,TOMATE ITALIANO O MARSANO
Langostino Chico Pelado Azul Marino Bolsa 400 g,S/ 19.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,400.0,g,Langostino Chico Pelado Azul Marino Bolsa,19.9,metro,,TOMATE ITALIANO O MARSANO
Mantequilla de Ajo Italian Rose 198g,S/ 20.20,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,198.0,g,Mantequilla de Ajo Italian Rose,20.2,wong,,TOMATE ITALIANO O MARSANO
Sazonador BADIA Italiano Frasco 35.4g,S/ 20.30 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,35.4,g,Sazonador BADIA Italiano Frasco,20.3,plaza_vea,Frasco 35.4g,TOMATE ITALIANO O MARSANO
Ensalada Italiana Mattson 300g,S/ 20.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,300.0,g,Ensalada Italiana Mattson,20.5,wong,,TOMATE ITALIANO O MARSANO
Ketchup HUNTS Tomato Sqeeze Frasco 567g,S/ 20.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,567.0,g,Ketchup HUNTS Tomato Sqeeze Frasco,20.9,plaza_vea,Frasco 567g,TOMATE ITALIANO O MARSANO
Salchichón Ibérico Enrique Tomas 80g,S/ 21.08,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,80.0,g,Salchichón Ibérico Enrique Tomas,21.08,wong,,TOMATE ITALIANO O MARSANO
Queso Crema Gourmet Delice Italiano Molde 150 g,S/ 21.10,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,150.0,g,Queso Crema Gourmet Delice Italiano Molde,21.1,wong,,TOMATE ITALIANO O MARSANO
Langostino Chico Pelado Azul Marino Bolsa 400 g,S/ 21.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,400.0,g,Langostino Chico Pelado Azul Marino Bolsa,21.5,wong,,TOMATE ITALIANO O MARSANO
Cera Capilar LANOSTERIN Lan.Wax Mate Pote 50g,S/ 21.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,50.0,g,Cera Capilar LANOSTERIN Lan.Wax Mate Pote,21.9,plaza_vea,Pote 50g,TOMATE ITALIANO O MARSANO
Chocolate Dark MARANA Piura Tableta 70g,S/ 21.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,70.0,g,Chocolate Dark MARANA Piura Tableta,21.9,plaza_vea,Tableta 70g,TOMATE ITALIANO O MARSANO
Chocolate Dark MARANA San Martín Tableta 70g,S/ 21.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,70.0,g,Chocolate Dark MARANA San Martín Tableta,21.9,plaza_vea,Tableta 70g,TOMATE ITALIANO O MARSANO
Salsa Agri-Dulce Tomate Chile Mackays Frasco 225 g,S/ 22.20,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,225.0,g,Salsa Agri-Dulce Tomate Chile Mackays Frasco,22.2,wong,,TOMATE ITALIANO O MARSANO
Conchas de Abanico Media Valva Parmesana Azul Marino 6un,S/ 22.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,6.0,un,Conchas de Abanico Media Valva Parmesana Azul Marino,22.5,wong,,TOMATE ITALIANO O MARSANO
Chocolate Oscuro Orgánico 70% Cacao Cusco Maraná Tableta 70 g,S/ 23.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,70.0,g,Chocolate Oscuro Orgánico 70% Cacao Cusco Maraná Tableta,23.5,wong,,TOMATE ITALIANO O MARSANO
Chocolate Oscuro Orgánico 80% Cacao San Martín Maraná Tableta 70 g,S/ 23.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,70.0,g,Chocolate Oscuro Orgánico 80% Cacao San Martín Maraná Tableta,23.5,wong,,TOMATE ITALIANO O MARSANO
Chocolate Oscuro Orgánico 70% Cacao Piura Maraná Tableta 70 g,S/ 23.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,70.0,g,Chocolate Oscuro Orgánico 70% Cacao Piura Maraná Tableta,23.5,wong,,TOMATE ITALIANO O MARSANO
Chocolate Oscuro Orgánico 80% Cacao Cusco Maraná Tableta 70 g,S/ 23.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,70.0,g,Chocolate Oscuro Orgánico 80% Cacao Cusco Maraná Tableta,23.5,wong,,TOMATE ITALIANO O MARSANO
Salsa de Tomate y Albahaca Orgánica The Fresh Market 709g,S/ 23.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,709.0,g,Salsa de Tomate y Albahaca Orgánica The Fresh Market,23.9,wong,,TOMATE ITALIANO O MARSANO
Bruschetta con Tomate y Orégano La Mole 150g,S/ 23.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,150.0,g,Bruschetta con Tomate y Orégano La Mole,23.9,metro,,TOMATE ITALIANO O MARSANO
Pisco Italia Hualcará Botella 750ml,S/ 23.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Italia Hualcará Botella,23.9,metro,,TOMATE ITALIANO O MARSANO
Bruschetta con Tomate y Orégano La Mole 150g,S/ 24.80,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,150.0,g,Bruschetta con Tomate y Orégano La Mole,24.8,wong,,TOMATE ITALIANO O MARSANO
Pisco Acholado Italia Quebranta Ica - Perú Vargas Botella 750ml,S/ 24.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Acholado Italia Quebranta Ica - Perú Vargas Botella,24.9,metro,,TOMATE ITALIANO O MARSANO
Langostino Extra Grande con cáscara Azul Marino Bolsa 400 g,S/ 24.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,400.0,g,Langostino Extra Grande con cáscara Azul Marino Bolsa,24.9,metro,,TOMATE ITALIANO O MARSANO
Fuet Espectec Extra Enrique Tomas 170g,S/ 25.08,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,170.0,g,Fuet Espectec Extra Enrique Tomas,25.08,wong,,TOMATE ITALIANO O MARSANO
Queso de Oveja Semi Curado Enrique Tomás 150g,S/ 25.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,150.0,g,Queso de Oveja Semi Curado Enrique Tomás,25.5,wong,,TOMATE ITALIANO O MARSANO
Mixtura de Mariscos Metro x kg,S/ 25.90 x kg,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,1.0,kg,Mixtura de Mariscos Metro,25.9,metro,,TOMATE ITALIANO O MARSANO
Pisco VARGAS Reserva Privada Italia Botella 75...,S/ 25.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Pisco VARGAS Reserva Privada Italia Botella 75,25.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Pisco Puro Italia Vargas Botella 750ml,S/ 26.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Puro Italia Vargas Botella,26.9,metro,,TOMATE ITALIANO O MARSANO
Pisco Acholado Italia Montesierpe Botella 700ml + Vaso Kero,S/ 26.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,700.0,ml,Pisco Acholado Italia Montesierpe Botella  + Vaso Kero,26.9,metro,,TOMATE ITALIANO O MARSANO
Aderezo de Tomate Harmless Ketchup 352g,S/ 27.20,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,352.0,g,Aderezo de Tomate Harmless Ketchup,27.2,metro,,TOMATE ITALIANO O MARSANO
Langostino Extra Grande con cáscara Azul Marino Bolsa 400 g,S/ 27.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,400.0,g,Langostino Extra Grande con cáscara Azul Marino Bolsa,27.5,wong,,TOMATE ITALIANO O MARSANO
Quiche de Tomate y Espinaca HOME CHEF Caja 1un,S/ 27.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Quiche de Tomate y Espinaca HOME CHEF Caja,27.9,plaza_vea,Caja 1un,TOMATE ITALIANO O MARSANO
Pisco PANCHO FIERRO Italia Botella 750ml,S/ 27.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Pisco PANCHO FIERRO Italia Botella,27.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Queso de Mezcla Semi Curado Enrique Tomas 150g,S/ 28.40,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,150.0,g,Queso de Mezcla Semi Curado Enrique Tomas,28.4,wong,,TOMATE ITALIANO O MARSANO
Tinte para Cabello EXCELLENCE Mujer 6.17 Rubio...,S/ 28.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Tinte para Cabello EXCELLENCE Mujer 6.17 Rubio,28.9,plaza_vea,Caja 1un,TOMATE ITALIANO O MARSANO
Pisco Puro Italia Pancho Fierro 750ml,S/ 28.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Puro Italia Pancho Fierro,28.9,metro,,TOMATE ITALIANO O MARSANO
Pisco OCUCAJE Italia Botella 700ml,S/ 28.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,ml,Pisco OCUCAJE Italia Botella,28.9,plaza_vea,Botella 700ml,TOMATE ITALIANO O MARSANO
Tinte para Cabello EXCELLENCE Mujer 7.17 Rubio...,S/ 28.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Tinte para Cabello EXCELLENCE Mujer 7.17 Rubio,28.9,plaza_vea,Caja 1un,TOMATE ITALIANO O MARSANO
Aderezo de Tomate Harmless Ketchup 352g,S/ 29.80,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,352.0,g,Aderezo de Tomate Harmless Ketchup,29.8,wong,,TOMATE ITALIANO O MARSANO
Pisco LA BOTIJA Tabernero Italia botella 700 m...,S/ 29.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,ml,Pisco LA BOTIJA Tabernero Italia botella 700 m,29.9,plaza_vea,Botella 700ml,TOMATE ITALIANO O MARSANO
Set de Cucharas Tommee Tippee 4un,S/ 29.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,4.0,un,Set de Cucharas Tommee Tippee,29.9,metro,,TOMATE ITALIANO O MARSANO
Pisco Puro Italia La Botija Tabernero Botella 700ml,S/ 29.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,700.0,ml,Pisco Puro Italia La Botija Tabernero Botella,29.9,metro,,TOMATE ITALIANO O MARSANO
Set de Cucharas Tommee Tippee con Sensor de Calor 3un,S/ 29.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,3.0,un,Set de Cucharas Tommee Tippee con Sensor de Calor,29.9,metro,,TOMATE ITALIANO O MARSANO
Langostinos Precocidos AZUL MARINO Bolsa 300g,S/ 29.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,300.0,g,Langostinos Precocidos AZUL MARINO Bolsa,29.9,plaza_vea,Bolsa 300g,TOMATE ITALIANO O MARSANO
Tinte para Cabello 6.17 Rubio Oscuro Cenizo Mate Matizador Supreme Caja 162.5 ml,S/ 29.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,162.5,ml,Tinte para Cabello 6.17 Rubio Oscuro Cenizo Mate Matizador Supreme Caja,29.9,metro,,TOMATE ITALIANO O MARSANO
Tinte para Cabello 8.17 Rubio Claro Cenizo Mate Matizador Supreme Caja 162.5 ml,S/ 29.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,162.5,ml,Tinte para Cabello 8.17 Rubio Claro Cenizo Mate Matizador Supreme Caja,29.9,metro,,TOMATE ITALIANO O MARSANO
Pisco Santiago Queirolo Italia 750ml,S/ 30.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Santiago Queirolo Italia,30.9,metro,,TOMATE ITALIANO O MARSANO
Pisco SANTIAGO QUEIROLO Italia Botella 750ml,S/ 30.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Pisco SANTIAGO QUEIROLO Italia Botella,30.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Tinte para Cabello IGORA Vital 7-00 Rubio Medi...,S/ 31 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Tinte para Cabello IGORA Vital 7-00 Rubio Medi,31.0,plaza_vea,Caja 1un,TOMATE ITALIANO O MARSANO
Jamón Serrano Enrique Tomás Gran Reserva 80g,S/ 31.88,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,80.0,g,Jamón Serrano Enrique Tomás Gran Reserva,31.88,wong,,TOMATE ITALIANO O MARSANO
Taza Insulada Tommee Tippee con Sorbete Rosado 9oz,S/ 31.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,9.0,oz,Taza Insulada Tommee Tippee con Sorbete Rosado,31.9,metro,,TOMATE ITALIANO O MARSANO
Pulpa de Cangrejo congelada Don Marino Bolsa 200 g,S/ 31.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,200.0,g,Pulpa de Cangrejo congelada Don Marino Bolsa,31.9,metro,,TOMATE ITALIANO O MARSANO
Taza Insulada Tommee Tippee con Sorbete Gris 9oz,S/ 31.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,9.0,oz,Taza Insulada Tommee Tippee con Sorbete Gris,31.9,metro,,TOMATE ITALIANO O MARSANO
Taza de Entrenamiento Tommee Tippee con Boquilla Azul 8oz,S/ 31.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,8.0,oz,Taza de Entrenamiento Tommee Tippee con Boquilla Azul,31.9,metro,,TOMATE ITALIANO O MARSANO
Queso de Oveja Curado Reserva Enrique Tomás 150g,S/ 32.20,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,150.0,g,Queso de Oveja Curado Reserva Enrique Tomás,32.2,wong,,TOMATE ITALIANO O MARSANO
Queso de Oveja Curado Enrique Tomás 150g,S/ 32.20,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,150.0,g,Queso de Oveja Curado Enrique Tomás,32.2,wong,,TOMATE ITALIANO O MARSANO
Chorizo Artesanal OSSO Italiano Caja 4 unid (560 g),S/ 32.22,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,4.0,un,Chorizo Artesanal OSSO Italiano Caja  (),32.22,wong,,TOMATE ITALIANO O MARSANO
Lomo Gran Reserva Enrique Tomás 80g,S/ 32.22,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,80.0,g,Lomo Gran Reserva Enrique Tomás,32.22,wong,,TOMATE ITALIANO O MARSANO
Agua Micelar Nivea Efecto Mate Piel Mixta - Grasa 400ml,S/ 32.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,400.0,ml,Agua Micelar Nivea Efecto Mate Piel Mixta - Grasa,32.9,metro,,TOMATE ITALIANO O MARSANO
Pulpa de Cangrejo congelada Don Marino Bolsa 200 g,S/ 32.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,200.0,g,Pulpa de Cangrejo congelada Don Marino Bolsa,32.9,wong,,TOMATE ITALIANO O MARSANO
Trucha Ahumada MAR ANDINO Bolsa 250g,S/ 34.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,250.0,g,Trucha Ahumada MAR ANDINO Bolsa,34.9,plaza_vea,Bolsa 250g,TOMATE ITALIANO O MARSANO
Pisco Puro Italia La Botija Tabernero Botella 700ml,S/ 34.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,700.0,ml,Pisco Puro Italia La Botija Tabernero Botella,34.9,metro,,TOMATE ITALIANO O MARSANO
Yerba Mate ROSAMONTE Bolsa 500g,S/ 35.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,500.0,g,Yerba Mate ROSAMONTE Bolsa,35.9,plaza_vea,Bolsa 500g,TOMATE ITALIANO O MARSANO
Agua Micelar NIVEA Efecto Mate Piel Mixta/Gras...,S/ 35.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,400.0,ml,Agua Micelar NIVEA Efecto Mate Piel Mixta/Gras,35.9,plaza_vea,Frasco 400ml,TOMATE ITALIANO O MARSANO
Antipasto Italiano LA GENOVESA Paquete 200g,S/ 36.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,200.0,g,Antipasto Italiano LA GENOVESA Paquete,36.9,plaza_vea,Paquete 200g,TOMATE ITALIANO O MARSANO
Pisco Puro Italia Finca Rotondo Botella 750ml,S/ 36.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Puro Italia Finca Rotondo Botella,36.9,metro,,TOMATE ITALIANO O MARSANO
Enrique Tomás Tabla Hispana 80g,S/ 39.00,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,80.0,g,Enrique Tomás Tabla Hispana,39.0,wong,,TOMATE ITALIANO O MARSANO
Enrique Tomás Tabla de Cata Selecta de Embutidos 120g,S/ 39.00,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,120.0,g,Enrique Tomás Tabla de Cata Selecta de Embutidos,39.0,wong,,TOMATE ITALIANO O MARSANO
Antipasto Italiano La Genovesa 200g,S/ 39.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,200.0,g,Antipasto Italiano La Genovesa,39.5,wong,,TOMATE ITALIANO O MARSANO
Yerba Mate LIEBIG con Palo Paquete 500g,S/ 39.70 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,500.0,g,Yerba Mate LIEBIG con Palo Paquete,39.7,plaza_vea,Paquete 500g,TOMATE ITALIANO O MARSANO
Pisco CUATRO GALLOS Italia Botella 700ml,S/ 39.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,ml,Pisco CUATRO GALLOS Italia Botella,39.9,plaza_vea,Botella 700ml,TOMATE ITALIANO O MARSANO
Extensión REFERMAT 6 Tomas Caja,S/ 39.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Extensión REFERMAT 6 Tomas Caja,39.9,plaza_vea,Caja 1un,TOMATE ITALIANO O MARSANO
Babero de Silicona Tommee Tippee para Niña 2un,S/ 39.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,2.0,un,Babero de Silicona Tommee Tippee para Niña,39.9,metro,,TOMATE ITALIANO O MARSANO
Babero de Silicona Tommee Tippee para Niño 2un,S/ 39.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,2.0,un,Babero de Silicona Tommee Tippee para Niño,39.9,metro,,TOMATE ITALIANO O MARSANO
Cafetera Italiana Krea Metal 280ml,S/ 40.79,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,280.0,ml,Cafetera Italiana Krea Metal,40.79,metro,,TOMATE ITALIANO O MARSANO
Pisco TABERNERO Edicion limitada Italia Botell...,S/ 41.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,ml,Pisco TABERNERO Edicion limitada Italia Botell,41.9,plaza_vea,Botella 700ml,TOMATE ITALIANO O MARSANO
