description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,CLASIFICACION
Papel Toalla NOVA Ultra Absorbente Paquete 2un,NOVA,S/ 7.50,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,2.0,un,Papel Toalla NOVA Ultra Absorbente Paquete,7.5,vivanda,PASTELES SALADOS
Set de Témperas LAYCONSA Puppy Pastel Paquete 6un,LAYCONSA,S/ 7.60,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,6.0,un,Set de Témperas LAYCONSA Puppy Pastel Paquete,7.6,vivanda,PASTELES SALADOS
Maní KARINTO Engalletado Salado Bolsa 200g,KARINTO,S/ 7.99,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,200.0,g,Maní KARINTO Engalletado Salado Bolsa,7.99,vivanda,PASTELES SALADOS
Chifle Salado CRICKETS Sabor Leche de Tigre Bolsa 150g,CRICKET S,S/ 8.50,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,150.0,g,Chifle Salado CRICKETS Sabor Leche de Tigre Bolsa,8.5,vivanda,PASTELES SALADOS
Chifles KARINTO Salado Bolsa 150g,KARINTO,S/ 9.30,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,150.0,g,Chifles KARINTO Salado Bolsa,9.3,vivanda,PASTELES SALADOS
Papel Toalla BOREAL Megarollo Paquete 4un,BOREAL,S/ 9.50,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,4.0,un,Papel Toalla BOREAL Megarollo Paquete,9.5,vivanda,PASTELES SALADOS
Velas Premium de Cumpleaños Rayadas Pastel MARSHALL & MASON x6un,MARSHALL & MASON,S/ 9.95,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,6.0,un,Velas Premium de Cumpleaños Rayadas Pastel MARSHALL & MASON x,9.95,vivanda,PASTELES SALADOS
Pistachos WONDERFUL Tostados y Salados Bolsa 35g,VALLEALTO,S/ 10.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,35.0,g,Pistachos WONDERFUL Tostados y Salados Bolsa,10.9,vivanda,PASTELES SALADOS
Cacahuates Salados SALYSOL Lata 250g,SALYSOL,S/ 10.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,250.0,g,Cacahuates Salados SALYSOL Lata,10.9,vivanda,PASTELES SALADOS
Set de Tápers VIVA HOME Tapa Pastel 3un,VIVA HOME,S/ 10.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,3.0,un,Set de Tápers VIVA HOME Tapa Pastel,10.9,vivanda,PASTELES SALADOS
Chifles Salados CRICKETS Bolsa 250g,CRICKET S,S/ 11.20,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,250.0,g,Chifles Salados CRICKETS Bolsa,11.2,vivanda,PASTELES SALADOS
Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote 900ml,D'ONOFRIO,S/ 11.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,900.0,ml,Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote,11.9,vivanda,PASTELES SALADOS
Marcador ARTESCO Dual Brush Pastel Blíster 6un,ARTESCO,S/ 11.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,6.0,un,Marcador ARTESCO Dual Brush Pastel Blíster,11.9,vivanda,PASTELES SALADOS
Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete 4un,SCOTT,S/ 12.40,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,4.0,un,Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete,12.4,vivanda,PASTELES SALADOS
Pumones ARTESCO Glitter Pastel Caja 6un,ARTESCO,S/ 13.20,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,6.0,un,Pumones ARTESCO Glitter Pastel Caja,13.2,vivanda,PASTELES SALADOS
Helado Bombones D'ONOFRIO Pote 18 un,D'ONOFRIO,S/ 13.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,18.0,un,Helado Bombones D'ONOFRIO Pote,13.9,vivanda,PASTELES SALADOS
Pasta Dental COLGATE Triple Acción Tubo 75ml Paquete 3un,COLGATE,S/ 16.80,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,75.0,ml,Pasta Dental COLGATE Triple Acción Tubo  Paquete,16.8,vivanda,PASTELES SALADOS
Papel Higiénico SUAVE Premium Paquete 12un,SUAVE,S/ 18.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,12.0,un,Papel Higiénico SUAVE Premium Paquete,18.9,vivanda,PASTELES SALADOS
Pasta Dental COLGATE Triple Acción 3x100ml,COLGATE,S/ 19.40,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,100.0,ml,Pasta Dental COLGATE Triple Acción 3x,19.4,vivanda,PASTELES SALADOS
Min Pao Salado DELIFREEZE Bolsa 12 un,DELIFREEZE,S/ 19.89,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,12.0,un,Min Pao Salado DELIFREEZE Bolsa,19.89,vivanda,PASTELES SALADOS
Papel Toalla NOVA Ultra Absorbente Paquete 6un,NOVA,S/ 19.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,6.0,un,Papel Toalla NOVA Ultra Absorbente Paquete,19.9,vivanda,PASTELES SALADOS
Pasta Dental Colgate Luminous White 2x75ml,COLGATE,S/ 20.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,75.0,ml,Pasta Dental Colgate Luminous White 2x,20.9,vivanda,PASTELES SALADOS
Chifles Salados CRICKETS Bolsa 500g,CRICKET S,S/ 21.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,500.0,g,Chifles Salados CRICKETS Bolsa,21.9,vivanda,PASTELES SALADOS
Papel Higiénico SUAVE Cuidado Completo Doble Hoja Paquete 24un,SUAVE,S/ 26.70,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,24.0,un,Papel Higiénico SUAVE Cuidado Completo Doble Hoja Paquete,26.7,vivanda,PASTELES SALADOS
Pasta Dental COLGATE Total 12 Clean Mint Tubo 75ml Paquete 3un,COLGATE,S/ 27.10,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,75.0,ml,Pasta Dental COLGATE Total 12 Clean Mint Tubo  Paquete,27.1,vivanda,PASTELES SALADOS
Papel Higiénico SUAVE Esencias Elegance Paquete 8un,SUAVE,S/ 27.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,8.0,un,Papel Higiénico SUAVE Esencias Elegance Paquete,27.9,vivanda,PASTELES SALADOS
Papel Higiénico ELITE Ultra Doble Hoja Paquete 12un,ELITE,S/ 29.30,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,12.0,un,Papel Higiénico ELITE Ultra Doble Hoja Paquete,29.3,vivanda,PASTELES SALADOS
Papel Higiénico SUAVE Esencias Elegance Paquete 32un,SUAVE,S/ 36.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,32.0,un,Papel Higiénico SUAVE Esencias Elegance Paquete,36.9,vivanda,PASTELES SALADOS
Pistacho Tostado y Salado WONDERFUL Bolsa 227g,WONDERFUL,S/ 45.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,227.0,g,Pistacho Tostado y Salado WONDERFUL Bolsa,45.9,vivanda,PASTELES SALADOS
Papel Toalla BOREAL Megarollo Paquete 2un,BOREAL,,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,2.0,un,Papel Toalla BOREAL Megarollo Paquete,,vivanda,PASTELES SALADOS
