description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Panetón Relleno Chocotón Manjar Blanco Caja 450g,,450.0,g,20.0,metro,2024-12-05 15:15:01.156214,PANETÓN,450.0,g,20.0
Panetón Chocotón Sabor Chocolate 450g,DONOFRIO,450.0,g,20.3,tottus,2024-12-05 11:17:35.295222,PANETÓN,450.0,g,20.3
Panetón Wong Bolsa 800g + Gaseosa Coca Cola Sin Azúcar 1.5L,,800.0,g,20.4,wong,2024-12-05 17:42:09.348768,PANETÓN,800.0,g,20.4
Panetón Wong Bolsa 800g + Gaseosa Inca Kola 1.5L,,800.0,g,20.4,wong,2024-12-05 17:42:09.348768,PANETÓN,800.0,g,20.4
Panetón Clásico Sayón Doypack 750g,,750.0,g,20.5,metro,2024-12-05 15:15:01.156214,PANETÓN,750.0,g,20.5
Panetón D'Gussto Doypack 900g,,900.0,g,20.5,metro,2024-12-05 15:15:01.156214,PANETÓN,900.0,g,20.5
Panetón Arcor 450g,,450.0,g,20.5,metro,2024-12-05 15:15:01.156214,PANETÓN,450.0,g,20.5
Panetón Arcor 450g,,450.0,g,20.5,wong,2024-12-05 17:42:09.348768,PANETÓN,450.0,g,20.5
Panetón Frutas Confitadas Pasas Caja 800 g,COSTA,800.0,g,20.9,tottus,2024-12-05 11:17:35.295222,PANETÓN,800.0,g,20.9
Panetón Winter's Choco Chispas Doypack 500g,,500.0,g,20.9,metro,2024-12-05 15:15:01.156214,PANETÓN,500.0,g,20.9
Panetón GLORIA Bolsa 900g,,900.0,g,20.9,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,900.0,g,20.9
Panetón WINTER'S con Choco Chispas Caja 500g,WINTER'S,500.0,g,20.9,vivanda,2024-12-05 21:34:08.513451,PANETÓN,500.0,g,20.9
Panetón Costa Doypack 800g,,800.0,g,20.9,wong,2024-12-05 17:42:09.348768,PANETÓN,800.0,g,20.9
Panetón Winter's Choco Chispas Doypack 500g,,500.0,g,20.9,wong,2024-12-05 17:42:09.348768,PANETÓN,500.0,g,20.9
Panetón Andino Ricco's Kusi Raymi Caja 500g,,500.0,g,21.0,metro,2024-12-05 15:15:01.156214,PANETÓN,500.0,g,21.0
Panetón de Lúcuma Ricco's Chocolúcuma Caja 500g,,500.0,g,21.0,wong,2024-12-05 17:42:09.348768,PANETÓN,500.0,g,21.0
Panetón de Lúcuma Ricco's Chocolúcuma Caja 500g,,500.0,g,21.0,metro,2024-12-05 15:15:01.156214,PANETÓN,500.0,g,21.0
Panetón Sapito 450g,,450.0,g,21.5,wong,2024-12-05 17:42:09.348768,PANETÓN,450.0,g,21.5
Panetón WINTER'S Bolsa 800g,,800.0,g,21.5,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,800.0,g,21.5
Pandulce D'Onofrio Doypack 490g,,490.0,g,21.9,wong,2024-12-05 17:42:09.348768,PANETÓN,490.0,g,21.9
Pandulce D'Onofrio Doypack 490g,,490.0,g,21.9,metro,2024-12-05 15:15:01.156214,PANETÓN,490.0,g,21.9
Panetón Winter's Doypack 800g,,800.0,g,21.9,wong,2024-12-05 17:42:09.348768,PANETÓN,800.0,g,21.9
Panetón Integral D'onofrio Doypack 500g,,500.0,g,21.9,metro,2024-12-05 15:15:01.156214,PANETÓN,500.0,g,21.9
Panetón Bimbo Doypack 900g,,900.0,g,21.9,metro,2024-12-05 15:15:01.156214,PANETÓN,900.0,g,21.9
Panetón DONOFRIO Chocotón Bolsa 450g,D'ONOFRIO,450.0,g,21.9,vivanda,2024-12-05 21:34:08.513451,PANETÓN,450.0,g,21.9
Panetón Blanca Flor Doypack 900g,,900.0,g,22.3,wong,2024-12-05 17:42:09.348768,PANETÓN,900.0,g,22.3
Paneton 900 g,BLANCA FLOR,900.0,g,22.4,tottus,2024-12-05 11:17:35.295222,PANETÓN,900.0,g,22.4
Panetón Costa Caja 800g,,800.0,g,22.5,metro,2024-12-05 15:15:01.156214,PANETÓN,800.0,g,22.5
Panetón San Jorge Doypack 900g,,900.0,g,22.5,metro,2024-12-05 15:15:01.156214,PANETÓN,900.0,g,22.5
Panetón Relleno Bon o Bon 450g,,450.0,g,22.5,wong,2024-12-05 17:42:09.348768,PANETÓN,450.0,g,22.5
Panetón Chocotón Sabor Manjar 450g,DONOFRIO,450.0,g,22.5,tottus,2024-12-05 11:17:35.295222,PANETÓN,450.0,g,22.5
Panetón Relleno Bon o Bon 450g,,450.0,g,22.5,metro,2024-12-05 15:15:01.156214,PANETÓN,450.0,g,22.5
Panetón Costa Caja 800g,,800.0,g,22.5,wong,2024-12-05 17:42:09.348768,PANETÓN,800.0,g,22.5
Panetón Gloria Pasión Avellanas Caja 500g,,500.0,g,22.9,metro,2024-12-05 15:15:01.156214,PANETÓN,500.0,g,22.9
Panetón Caja x 900 g,BIANCHI,900.0,g,22.9,tottus,2024-12-05 11:17:35.295222,PANETÓN,900.0,g,22.9
PANETON CAJA 750 GR,BUON NATALE,750.0,g,22.9,tottus,2024-12-05 11:17:35.295222,PANETÓN,750.0,g,22.9
Panetón BLANCA FLOR Chocolate Caja 450g,BLANCA FLOR,450.0,g,22.9,vivanda,2024-12-05 21:34:08.513451,PANETÓN,450.0,g,22.9
Panetón Gloria Pasión Sabor Algarrobina Caja 500g,,500.0,g,22.9,wong,2024-12-05 17:42:09.348768,PANETÓN,500.0,g,22.9
Panetón COSTA Bolsa 800g,,800.0,g,22.9,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,800.0,g,22.9
Panetón Bimbo Caja 900g,,900.0,g,22.9,wong,2024-12-05 17:42:09.348768,PANETÓN,900.0,g,22.9
Panetón con Avellana GLORIA Pasión Caja 500g,,500.0,g,22.9,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,500.0,g,22.9
Panetón Pasas Frutas Bolsa 880 gr,DONOFRIO,880.0,g,23.2,tottus,2024-12-05 11:17:35.295222,PANETÓN,880.0,g,23.2
Panetón SAN JORGE Zipper 900g,,900.0,g,23.4,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,900.0,g,23.4
Panetón GLORIA Caja 900g,,900.0,g,23.5,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,900.0,g,23.5
Panetón Bolsa x 900 gr,SAN JORGE,900.0,g,23.5,tottus,2024-12-05 11:17:35.295222,PANETÓN,900.0,g,23.5
Panetón DONOFRIO Buen Natale Bolsa 750g,D'ONOFRIO,750.0,g,23.9,vivanda,2024-12-05 21:34:08.513451,PANETÓN,750.0,g,23.9
Panetón San Jorge Poessía Doypack 900g,,900.0,g,23.9,wong,2024-12-05 17:42:09.348768,PANETÓN,900.0,g,23.9
Panetón Gloria Doypack 900g,,900.0,g,23.9,metro,2024-12-05 15:15:01.156214,PANETÓN,900.0,g,23.9
Panetón DONOFRIO Buen Natale Bolsa 750g,,750.0,g,23.9,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,750.0,g,23.9
Panetón DONOFRIO Chocotón Caja 450g,,450.0,g,23.9,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,450.0,g,23.9
Panetón BLANCA FLOR Caja 900g,,900.0,g,24.7,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,900.0,g,24.7
Panetón Blanca Flor Caja 900g,,900.0,g,24.7,wong,2024-12-05 17:42:09.348768,PANETÓN,900.0,g,24.7
Panetón Artesanal con Frutos Secos LA FLORENCIA Caja 600g,LA FLORENCIA,600.0,g,24.9,vivanda,2024-12-05 21:34:08.513451,PANETÓN,600.0,g,24.9
Panetón BLANCA FLOR Caja 900g,Blanca Flor,900.0,g,24.9,vega,2024-12-05 11:46:23.316719,PANETÓN,900.0,g,24.9
