description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chifle Dulce150g,S/ 6.90,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,150.0,g,Chifle Dulce,6.9,tottus,VILLA NATURA,CHIFLE (BOCADITOS)
Chicle Wrigley's Orbit Spearmint 14un,S/ 6.90,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,14.0,un,Chicle Wrigley's Orbit Spearmint,6.9,wong,,CHIFLE (BOCADITOS)
Keke Marmoleado Magdalena 12un,S/ 6.90,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,12.0,un,Keke Marmoleado Magdalena,6.9,metro,,CHIFLE (BOCADITOS)
Keke Magdalena Vainilla Dolcezza 12un,S/ 6.90,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,12.0,un,Keke Magdalena Vainilla Dolcezza,6.9,metro,,CHIFLE (BOCADITOS)
Chifles Salados Villa Natura 150g,S/ 7.30,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,150.0,g,Chifles Salados Villa Natura,7.3,metro,,CHIFLE (BOCADITOS)
Chifles Norteños MILYS Bolsa 160g,S/ 7.40,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,160.0,g,Chifles Norteños MILYS Bolsa,7.4,vivanda,GELCE,CHIFLE (BOCADITOS)
Piqueo BELL'S Chifles salados Bolsa 220Gr,S/ 7.40,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,220.0,g,Piqueo BELL'S Chifles salados Bolsa r,7.4,vivanda,BELL'S,CHIFLE (BOCADITOS)
Chifles Dulces BELL'S Bolsa 220g,S/ 7.40,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,220.0,g,Chifles Dulces BELL'S Bolsa,7.4,vivanda,BELL'S,CHIFLE (BOCADITOS)
Camote en Hojuelas Inka Chips 130g,S/ 7.50,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,130.0,g,Camote en Hojuelas Inka Chips,7.5,metro,,CHIFLE (BOCADITOS)
Marshmallow Rocky Mountain Mini 150g,S/ 7.70,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,150.0,g,Marshmallow Rocky Mountain Mini,7.7,metro,,CHIFLE (BOCADITOS)
