description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Crema para Peinar Amarás Diosa Rulosa 120 mL,AMARAS,120.0,ml,6.5,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,120.0,ml,6.5
Leche GLORIA UHT Chocolatada Caja 1L,GLORIA,1.0,l,6.5,vivanda,2024-12-05 22:34:16.872120,PRODUCTO ACHOCOLATADO,1.0,l,6.5
Leche Chocolatada PIAMONTE Bolsa 946ml,PIAMONTE,946.0,ml,6.9,vivanda,2024-12-05 22:34:16.872120,PRODUCTO ACHOCOLATADO,946.0,ml,6.9
Garbanzos 500 g,TOTTUS,500.0,g,7.23,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,500.0,g,7.23
Crema para Peinar Fuerza Reconstrucción 300 mL,MURANA,300.0,ml,7.92,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,300.0,ml,7.92
Crema para Peinar Restauración Brillo 400 mL,MURANA,400.0,ml,7.92,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,400.0,ml,7.92
Leche Chocolatada DANLAC Botella 900ml,DANLAC,900.0,ml,8.6,vivanda,2024-12-05 22:34:16.872120,PRODUCTO ACHOCOLATADO,900.0,ml,8.6
Leche Chocolatada Deslactosada DANLAC Botella 900ml,DANLAC,900.0,ml,8.8,vivanda,2024-12-05 22:34:16.872120,PRODUCTO ACHOCOLATADO,900.0,ml,8.8
Crema para Peinar Pro-V Rizos Definidos 160 mL,PANTENE,160.0,ml,8.9,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,160.0,ml,8.9
Frijol Canario 500 g,TESORO DEL CAMPO,500.0,g,9.2,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,500.0,g,9.2
Achocolatado Chocolisto Doypack 200 g,,200.0,g,9.7,wong,2024-12-05 19:29:25.311092,PRODUCTO ACHOCOLATADO,200.0,g,9.7
Chocolatada en Polvo Miskísimoo Doypack 200 g,,200.0,g,9.7,metro,2024-12-05 16:52:06.030323,PRODUCTO ACHOCOLATADO,200.0,g,9.7
Achocolatado Chocolisto Doypack 200 g,,200.0,g,9.7,metro,2024-12-05 16:52:06.030323,PRODUCTO ACHOCOLATADO,200.0,g,9.7
Chocolatada en Polvo Miskísimoo Doypack 200 g,,200.0,g,9.9,wong,2024-12-05 19:29:25.311092,PRODUCTO ACHOCOLATADO,200.0,g,9.9
PACK DE PRODUCTOS 249.5G,AMBROSOLI,249.5,g,9.9,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,249.5,g,9.9
Pretostado 7 en 1 Productos Andinos 400 g,GENERICO,400.0,g,10.3,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,400.0,g,10.3
Pretostado de Cerales 10 en 1 Productos Andinos 400 g,GENERICO,400.0,g,10.9,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,400.0,g,10.9
Pretostado 3 en 1 Productos Andinos 400 g,,400.0,g,10.9,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,400.0,g,10.9
Duraznos en Almíbar 822 g,ACONCAGUA,822.0,g,10.9,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,822.0,g,10.9
Harina De Linaza Productos Andinos 500 g,,500.0,g,10.9,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,500.0,g,10.9
Crema para Peinar Colageno Sábila 275 mL,SAVITAL,275.0,ml,10.9,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,275.0,ml,10.9
