description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Piñas en Rodajas Cuisine & Co 565g,,565.0,g,6.9,wong,2024-12-05 18:41:50.640007,PIÑA,565.0,g,6.9
Bebida Ready to Drink Wasska Happy Punch Piña Colada Lata 355ml,,355.0,ml,6.9,wong,2024-12-05 18:41:50.640007,PIÑA,355.0,ml,6.9
Gaseosa Fanta Piña Lata 355 ml,,355.0,ml,6.9,wong,2024-12-05 18:41:50.640007,PIÑA,355.0,ml,6.9
Mermelada BELL'S Light Piña Frasco 230g,BELL'S,230.0,g,6.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,230.0,g,6.9
Piña en Rodajas BELL'S en Almíbar Lata 567g,BELL'S,567.0,g,6.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,567.0,g,6.9
Gaseosa Fanta Piña Botella 3L,,3.0,l,6.9,wong,2024-12-05 18:41:50.640007,PIÑA,3.0,l,6.9
Gaseosa CONCORDIA Piña Botella 3L,CONCORDIA,3.0,l,6.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,3.0,l,6.9
Gaseosa FANTA Piña Lata 355ml,FANTA,355.0,ml,6.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,355.0,ml,6.9
Piña Golden en trozos La Dulcesita Bandeja 400 g,,400.0,g,6.99,wong,2024-12-05 18:41:50.640007,PIÑA,400.0,g,6.99
Infusión Piña Sunka Caja 20 unid,,20.0,un,7.0,wong,2024-12-05 18:41:50.640007,PIÑA,20.0,un,7.0
Piña en Rodajas BALI Lata 227g,BALI,227.0,g,7.1,vivanda,2024-12-05 22:06:05.286350,PIÑA,227.0,g,7.1
Gaseosa Concordia Sabor Piña Botella 3 Litros,,3.0,l,7.1,wong,2024-12-05 18:41:50.640007,PIÑA,3.0,l,7.1
Mermelada de Piña Pote 350 g,,350.0,g,7.9,wong,2024-12-05 18:41:50.640007,PIÑA,350.0,g,7.9
Néctar de Piña Selva Botella 900 ml,,900.0,ml,7.9,wong,2024-12-05 18:41:50.640007,PIÑA,900.0,ml,7.9
Yogurt Griego Vakimu Piña 500g,,500.0,g,7.92,wong,2024-12-05 18:41:50.640007,PIÑA,500.0,g,7.92
Mermelada de Piña Cuisine & Co Frasco 370 g,,370.0,g,8.3,wong,2024-12-05 18:41:50.640007,PIÑA,370.0,g,8.3
Piña en Trozos Golden 350g,,350.0,g,8.49,metro,2024-12-05 16:05:11.408424,PIÑA,350.0,g,8.49
Fourpack Gelatina Yopi Sabor Piña 120g,,120.0,g,8.5,wong,2024-12-05 18:41:50.640007,PIÑA,120.0,g,8.5
Té Verde & Piña BELL'S Caja 20un,BELL'S,20.0,un,8.59,vivanda,2024-12-05 22:06:05.286350,PIÑA,20.0,un,8.59
Agua de Piña Golden 1L,,1.0,l,8.8,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,l,8.8
Infusión de Té Verde con Piña Cuisine & Co 20un.,,20.0,un,8.9,wong,2024-12-05 18:41:50.640007,PIÑA,20.0,un,8.9
Piña Golden en Trozos Congelada FEST Paquete 500g,FEST,500.0,g,8.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,500.0,g,8.9
Piña Golden en Trozos Congelada FEST Paquete 5...,,500.0,g,8.9,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,500.0,g,8.9
Piña en Trozos Golden 350g,,350.0,g,8.99,wong,2024-12-05 18:41:50.640007,PIÑA,350.0,g,8.99
Agua de Piña Light Golden 1L,,1.0,l,9.39,metro,2024-12-05 16:05:11.408424,PIÑA,1.0,l,9.39
Agua de Piña Golden 1L,,1.0,l,9.39,metro,2024-12-05 16:05:11.408424,PIÑA,1.0,l,9.39
Gelatina Zana Sabor Piña 50g,,50.0,g,9.4,wong,2024-12-05 18:41:50.640007,PIÑA,50.0,g,9.4
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",,340.0,g,9.49,wong,2024-12-05 18:41:50.640007,PIÑA,340.0,g,9.49
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",,340.0,g,9.49,metro,2024-12-05 16:05:11.408424,PIÑA,340.0,g,9.49
Infusiones WAWASANA Té verde piña Caja 20Un,WAWASANA,20.0,un,9.6,vivanda,2024-12-05 22:06:05.286350,PIÑA,20.0,un,9.6
Mermelada DELGA-C Piña 0% Azúcar Frasco 310Gr,DELGA-C,310.0,g,9.8,vivanda,2024-12-05 22:06:05.286350,PIÑA,310.0,g,9.8
Piña en Trozos BELL'S Bandeja 500g,,500.0,g,9.89,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,500.0,g,9.89
Piña Madura Golden x kg,,1.0,kg,9.89,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,9.89
Té Verde Sabor a Piña Wawasana 20un,,20.0,un,9.9,wong,2024-12-05 18:41:50.640007,PIÑA,20.0,un,9.9
Trifruna Chicha Manza Piña Ambrosoli Contenido 420 g,,420.0,g,9.9,wong,2024-12-05 18:41:50.640007,PIÑA,420.0,g,9.9
Twopack Gelatina en Polvo Royal Sabor Piña 160g,,160.0,g,10.4,wong,2024-12-05 18:41:50.640007,PIÑA,160.0,g,10.4
Yogurt Sin Lactosa Danlac Line Piña Pitahaya 900g,,900.0,g,10.5,wong,2024-12-05 18:41:50.640007,PIÑA,900.0,g,10.5
Yogurt Sin Lactosa Danlac Line Piña Pitahaya 900g,,900.0,g,10.5,metro,2024-12-05 16:05:11.408424,PIÑA,900.0,g,10.5
Gaseosa Sabor Piña Concordia Pack 6 Botellas de 500ml c/u,,500.0,ml,10.6,wong,2024-12-05 18:41:50.640007,PIÑA,500.0,ml,10.6
Yogurt Bebible Ecologic Sabor Piña 1L,,1.0,l,10.7,metro,2024-12-05 16:05:11.408424,PIÑA,1.0,l,10.7
Yogurt Bebible Ecologic Sabor Piña 1L,,1.0,l,10.7,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,l,10.7
Gomas Dulces 2 CERRITOS Sabor Fresa Naranja Limón y Piña Bolsa 125g,NURIA,125.0,g,10.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,125.0,g,10.9
"Pulpa Congelada de Acaí, Arándano y Piña Golden Berries del Perú 200g",,200.0,g,10.96,wong,2024-12-05 18:41:50.640007,PIÑA,200.0,g,10.96
Pack x3 Agua de Piña Light Golden Botella 485ml,,485.0,ml,10.99,wong,2024-12-05 18:41:50.640007,PIÑA,485.0,ml,10.99
Piñas en Rodajas Best Food 565g,,565.0,g,11.7,wong,2024-12-05 18:41:50.640007,PIÑA,565.0,g,11.7
Pack x3 Agua de Piña Golden Botella 485ml,,485.0,ml,11.89,wong,2024-12-05 18:41:50.640007,PIÑA,485.0,ml,11.89
Pack x3 Agua de Piña Golden Botella 485ml,,485.0,ml,11.89,metro,2024-12-05 16:05:11.408424,PIÑA,485.0,ml,11.89
Pack x3 Agua de Piña Light Golden Botella 485ml,,485.0,ml,11.89,metro,2024-12-05 16:05:11.408424,PIÑA,485.0,ml,11.89
Piña Golden Madura,,2.5,kg,11.9,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,2.5,kg,11.9
Queso Rulo Cabra MARQUES DEL CASTILLO con Piña Paquete 110g,MARQUÉS DEL CASTILLO,110.0,g,11.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,110.0,g,11.9
Agua de Piña con Arándanos Light Golden 1L,,1.0,l,11.99,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,l,11.99
Agua de Piña con Arándanos Light Golden 1L,,1.0,l,11.99,metro,2024-12-05 16:05:11.408424,PIÑA,1.0,l,11.99
Caja Krea Plástica 6L Infantil Piñas,,6.0,l,12.0,metro,2024-12-05 16:05:11.408424,PIÑA,6.0,l,12.0
Caja Krea Plástica 6L Infantil Piñas,,6.0,l,12.0,wong,2024-12-05 18:41:50.640007,PIÑA,6.0,l,12.0
Piña en Rodajas BALI Lata 567g,BALI,567.0,g,12.2,vivanda,2024-12-05 22:06:05.286350,PIÑA,567.0,g,12.2
Piña en Trozos Bali Lata 567 g,,567.0,g,12.2,wong,2024-12-05 18:41:50.640007,PIÑA,567.0,g,12.2
Piña en Trozos BALI Lata 567g,BALI,567.0,g,12.2,vivanda,2024-12-05 22:06:05.286350,PIÑA,567.0,g,12.2
Piña Orgánica Golden x kg,,1.0,kg,12.49,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,12.49
Néctar de Piña Bajo en Calorías Ecofresh Botella 1L,,1.0,l,12.6,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,l,12.6
Helado Veggie Mango & Piña Lift Pote 110 g,,110.0,g,12.9,wong,2024-12-05 18:41:50.640007,PIÑA,110.0,g,12.9
Pulpa de Piña Golden Agroselva Doypack 250g,,250.0,g,12.99,metro,2024-12-05 16:05:11.408424,PIÑA,250.0,g,12.99
Tripack Agua de Piña Light con Arándanos Golden Botella 485ml,,485.0,ml,13.0,metro,2024-12-05 16:05:11.408424,PIÑA,485.0,ml,13.0
Tripack Agua de Piña Light con Arándanos Golden Botella 485ml,,485.0,ml,13.0,wong,2024-12-05 18:41:50.640007,PIÑA,485.0,ml,13.0
Sixpack Bebida Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,13.2,wong,2024-12-05 18:41:50.640007,PIÑA,625.0,ml,13.2
Piña en Rodajas BALI Lata 836g,BALI,836.0,g,13.4,vivanda,2024-12-05 22:06:05.286350,PIÑA,836.0,g,13.4
Piña en Trozos BELL'S Bandeja 700g,,700.0,g,13.49,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,700.0,g,13.49
Piña en Trozos Golden 500g,,500.0,g,13.49,metro,2024-12-05 16:05:11.408424,PIÑA,500.0,g,13.49
Infusión de Jamaica con Sabor Piña Wawasana 20un,,20.0,un,13.5,wong,2024-12-05 18:41:50.640007,PIÑA,20.0,un,13.5
Piña Golden en Trozos Congelada El Frutero 1kg,,1.0,kg,13.59,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,13.59
Piña en Trozos Congelada BELL'S Bolsa 1kg,,1.0,kg,13.9,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,1.0,kg,13.9
Piña Hawai en Trozos Congelados 1kg,,1.0,kg,13.99,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,13.99
Piña en Trozos Congelada BELL'S Bolsa 1kg,BELL'S,1.0,kg,14.2,vivanda,2024-12-05 22:06:05.286350,PIÑA,1.0,kg,14.2
Gomas Dulces AMBROSOLI FRUGELÉ Sabor Limón Naranja Piña Bolsa 430g,AMBROSOLI,430.0,g,14.5,vivanda,2024-12-05 22:06:05.286350,PIÑA,430.0,g,14.5
Néctar de Tuna con Piña Bajo en Calorías Ecofresh Botella 1L,,1.0,l,14.9,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,l,14.9
Pack Gaseosa PEPSI Botella 3L + Gaseosa CONCORDIA Piña Botella 3L,PEPSI,3.0,l,14.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,3.0,l,14.9
Mix de Frutas El Frutero 1kg: Fresa + Papaya + Piña,,1.0,kg,14.99,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,14.99
"Mix de Fresa, Papaya y Piña Congelada EL FRUTE...",,1.0,kg,15.49,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,1.0,kg,15.49
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",,1.0,kg,15.72,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,15.72
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",,1.0,kg,15.72,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,15.72
Luces Krea F8 Led Piñas Colores 50un,,8.0,l,16.5,metro,2024-12-05 16:05:11.408424,PIÑA,8.0,l,16.5
Luces Krea F8 Led Piñas Colores 50un,,8.0,l,16.5,wong,2024-12-05 18:41:50.640007,PIÑA,8.0,l,16.5
Infusiones WAWASANA Te verde piña Caja 50Un,WAWASANA,50.0,un,16.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,50.0,un,16.9
Piña Golden en Trozos Congelados 1kg,,1.0,kg,16.99,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,16.99
"Mix Fresa, Piña y Mango Congelado EL FRUTERO Bolsa 1kg",EL FRUTERO,1.0,kg,16.99,vivanda,2024-12-05 22:06:05.286350,PIÑA,1.0,kg,16.99
Trozos de Piña Golden Congelada EL FRUTERO Bolsa 1Kg,EL FRUTERO,1.0,kg,16.99,vivanda,2024-12-05 22:06:05.286350,PIÑA,1.0,kg,16.99
Trozos de Piña Golden Congelada EL FRUTERO Bol...,,1.0,kg,16.99,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,1.0,kg,16.99
"Mix Fresa, Piña y Mango Congelado EL FRUTERO B...",,1.0,kg,16.99,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,1.0,kg,16.99
Ready To Drink (RTD) PISCANO Sour Piña Colada ...,,700.0,ml,17.9,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,700.0,ml,17.9
Gaseosa PEPSI + 7UP + CONCORDIA Piña Botella 3L Paquete 3un,PEPSI,3.0,l,18.2,vivanda,2024-12-05 22:06:05.286350,PIÑA,3.0,l,18.2
Mermelada de Piña & Yacón con Agave ECOANDINO Orgánico Frasco 240g,ECOANDINO,240.0,g,19.5,vivanda,2024-12-05 22:06:05.286350,PIÑA,240.0,g,19.5
Piña Deshidratada Go Barman 60g,,60.0,g,19.9,wong,2024-12-05 18:41:50.640007,PIÑA,60.0,g,19.9
Piña en Rodajas Golden 700g,,700.0,g,19.9,wong,2024-12-05 18:41:50.640007,PIÑA,700.0,g,19.9
Néctar de Tuna con Piña Bajo en Calorías Ecofresh Botella 1.8L,,1.8,l,19.9,wong,2024-12-05 18:41:50.640007,PIÑA,1.8,l,19.9
Piña Deshidratada GO BARMAN Bolsa 60g,GO BARMAN,60.0,g,19.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,60.0,g,19.9
Piña Deshidratada GO BARMAN Bolsa 60g,,60.0,g,19.9,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,60.0,g,19.9
Mermelada de Piña y Yacón Orgánica Ecoandino 240g,,240.0,g,20.7,wong,2024-12-05 18:41:50.640007,PIÑA,240.0,g,20.7
Cereal UNIÓN con Arándanos y Piña Liofilizada Caja 350g,UNIÓN,350.0,g,22.5,vivanda,2024-12-05 22:06:05.286350,PIÑA,350.0,g,22.5
Bebida Ready to Drink Piscano Sour Piña Colada Botella 700ml,,700.0,ml,24.5,wong,2024-12-05 18:41:50.640007,PIÑA,700.0,ml,24.5
Licor Frutado de Pisco y Piña Burgos Botella 750ml,,750.0,ml,27.9,wong,2024-12-05 18:41:50.640007,PIÑA,750.0,ml,27.9
King Kong de Manjarblanco y Piña Caja 450 g,,450.0,g,29.2,wong,2024-12-05 18:41:50.640007,PIÑA,450.0,g,29.2
"King Kong de Manjarblanco, Piña y Maní Caja 450 g",,450.0,g,29.2,wong,2024-12-05 18:41:50.640007,PIÑA,450.0,g,29.2
