description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Ají Mirasol Deshidratado Guva 100g,S/ 9.00,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,100.0,g,Ají Mirasol Deshidratado Guva,9.0,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Mirasol Deshidratado Guva 100g,S/ 9.00,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,100.0,g,Ají Mirasol Deshidratado Guva,9.0,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca Deshidratado Guva 100g,S/ 9.00,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,100.0,g,Ají Panca Deshidratado Guva,9.0,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Paprika Deshidratado Guva 100g,S/ 9.00,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,100.0,g,Ají Paprika Deshidratado Guva,9.0,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Café Tostado y Molido CAFETAL Selecto Bolsa 200gr,S/ 9.00 17%,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,200.0,g,Café Tostado y Molido CAFETAL Selecto Bolsa r,9.0,vega,Cafetal,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca Molido PIKI Doypack 350gr,S/ 9.00,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,350.0,g,Ají Panca Molido PIKI Doypack r,9.0,vega,Piki,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de Gallina PROVENZAL Sachet 100g,S/ 9.00,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,100.0,g,Ají de Gallina PROVENZAL Sachet,9.0,vivanda,PROVENZAL,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de La Casa Metro 250g,S/ 9.10,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají de La Casa Metro,9.1,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de La Abuela Metro Pote 250 g,S/ 9.10,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají de La Abuela Metro Pote,9.1,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Parrillero Pote 250 g,S/ 9.10,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají Parrillero Pote,9.1,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
